Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
5,-1,-32,-9,-10,2,-1,-128
-4,7,3,-31,20,4,-20,-128
-3,-9,-11,127,28,0,-10,-128
-8,-11,-10,-23,-49,-34,-5,-128
-5,-3,-18,-47,-35,-20,-17,-128
6,10,12,-7,-32,-8,-1,-128
-5,0,2,87,45,10,2,-128
-7,-6,-19,22,9,5,-15,-128
6,0,-9,-55,4,-8,5,-128
-7,-6,3,-2,-6,-11,-6,-128
4,6,27,-5,-10,18,19,-128
-5,-2,3,31,16,7,14,-128
-6,-10,8,10,16,-11,-6,-128
7,2,-6,1,2,8,34,-128
-2,1,2,-17,-11,-14,2,-128
0,5,22,-13,-18,-10,-14,-128
0,-2,-14,-36,-16,-5,-6,-128
-4,-5,-8,18,5,-2,-6,-128
-11,-7,6,44,-11,-5,-8,-128
3,2,5,19,17,2,4,-128
-7,-8,-46,-95,-13,-6,-10,-128
2,5,3,2,0,9,6,-128
5,-3,-8,-9,-1,2,-30,-128
-5,14,-3,4,-5,0,20,-128
-4,-6,5,-10,-5,1,3,-128
-10,-17,-18,-13,-1,1,-13,-128
7,-7,-127,-26,3,9,-2,-128
7,1,64,40,11,-5,3,-128
-14,1,81,31,-27,-28,3,-128
-4,-7,-37,-11,0,1,-7,-128
-11,-7,58,7,-5,-14,-7,-128
0,-3,-110,-19,-9,-1,-3,-128
19,-6,32,7,-10,-7,-4,-128
-15,0,26,9,-7,-5,-1,-128
-10,-1,6,-16,-5,-2,3,-128
8,-1,2,-5,-5,-3,1,-128
-2,4,11,1,-15,-3,-18,-128
-8,-11,-18,-6,5,9,-2,-128
-5,-16,-38,6,-1,-3,-13,-128
4,0,-12,-29,-12,-4,9,-128
18,4,5,1,-15,-20,-31,-128
24,-6,5,5,-3,1,8,-128
-41,-3,5,8,37,22,43,-128
5,6,2,11,11,7,-5,-128
-8,-7,-13,2,-7,-9,-10,-128
-18,-2,-23,-10,-8,-7,-13,-128
0,6,9,-1,-4,-6,-7,-128
-17,-3,-13,-2,0,7,0,-128
28,-10,-6,-10,-11,-18,-13,-128
-8,0,10,10,-8,-8,-9,-128
-9,-2,-9,2,-10,1,-3,-128
-6,1,-2,-22,11,0,2,-128
2,-2,16,24,13,2,5,-128
-6,1,-6,-13,-3,7,-2,-128
3,5,9,-13,-7,-6,-2,-128
-38,-6,-7,7,-6,-3,-3,-128
-19,-9,-25,10,-9,-6,5,-128
31,4,9,0,-1,2,-2,-128
-10,-2,-9,2,8,-3,-6,-128
-24,0,24,7,-23,-9,-4,-128
-3,-3,0,-2,2,3,-3,-128
14,8,70,-2,33,4,5,-128
-34,-5,12,1,-5,6,-5,-128
-22,-35,-110,-21,-10,-1,0,-128
4,25,31,13,25,5,3,-128
7,22,65,7,-2,2,0,-128
-14,-47,-27,-11,-23,-9,-10,-128
-19,4,-4,3,-1,-3,5,-128
-14,-4,-12,-12,-11,-4,-6,-128
53,-4,-7,-25,-16,-24,-21,-128
-5,6,-6,4,-9,1,0,-128
16,1,-13,-6,-10,-1,2,-128
-7,9,9,5,10,-10,-26,-128
0,-1,-2,15,19,8,11,-128
2,1,-5,-20,-5,10,29,-128
-31,0,4,5,-2,12,1,-128
