Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
14,4,-2,-12,-5,3,-7,-128
-48,-3,-3,1,6,1,0,-128
-5,-7,-10,-49,-5,2,3,-128
3,6,-5,-4,-8,-7,-7,-128
-7,-5,-6,-2,-5,-4,-4,-128
-6,-5,5,2,-1,-7,-6,-128
1,0,11,27,1,-3,0,-128
-1,-3,-6,10,-8,-3,-4,-128
0,-2,-9,-50,-7,-1,0,-128
-1,3,2,10,1,-1,0,-128
1,2,2,1,2,-1,-1,-128
1,1,-2,17,-4,-4,-1,-128
-4,-4,-6,15,1,-2,-2,-128
-6,-6,-2,-31,-6,-9,-11,-128
3,4,0,-2,-3,-3,3,-128
-7,0,-2,3,2,0,5,-128
5,11,-1,16,-2,5,4,-128
-5,-4,1,17,3,-5,-13,-128
-5,-6,-11,-68,-15,-7,-5,-128
-4,-5,-5,27,-1,-6,-5,-128
-6,-1,-7,-9,11,1,-6,-128
1,0,4,-16,-12,1,-8,-128
-6,2,6,-11,14,-3,0,-128
-5,-6,-2,19,-7,-7,-5,-128
-3,0,-17,-10,-17,-6,-2,-128
-2,1,-3,-31,6,0,0,-128
-2,-5,-2,10,-3,-5,0,-128
-3,-2,1,-16,0,-2,-4,-128
-2,1,-1,-9,-3,1,-1,-128
4,1,-7,30,3,3,-2,-128
-2,-1,-4,-10,-7,-1,-2,-128
-3,-6,4,-2,-5,-1,-2,-128
-11,-5,-2,-5,-3,-4,-2,-128
-4,-1,-1,-10,-5,-1,-1,-128
-2,-3,-3,6,4,0,-7,-128
-1,-1,-2,8,-6,-7,-5,-128
-1,2,-3,42,-5,-8,-7,-128
-3,-1,-6,-19,-8,-6,-3,-128
-1,-1,0,-31,-1,-1,-3,-128
-5,-2,-1,31,1,-3,-1,-128
8,0,-8,2,9,0,2,-128
-9,-6,-2,-27,-7,-6,-8,-128
3,-1,0,-6,-4,-2,1,-128
0,1,-7,15,0,3,4,-128
2,-2,-10,7,-7,1,-5,-128
-8,2,3,0,6,-2,-11,-128
-2,-7,-9,-29,-20,-1,-5,-128
1,-3,4,3,-6,-8,0,-128
0,-1,4,20,0,3,2,-128
-2,2,-4,8,4,3,0,-128
5,24,-16,-2,7,3,11,-128
