Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-7,1,-2,-1,-16,-3,-10,-128
-1,-7,-7,-8,-6,-2,-1,-128
8,15,8,48,32,13,17,-128
7,14,6,-1,9,6,21,-128
-7,-4,-1,-5,-14,-13,-47,-128
-7,-12,-1,-2,-17,-9,-17,-128
4,-3,6,0,-5,7,11,-128
-4,20,-4,-11,-7,-4,6,-128
-22,-15,-32,-1,12,-10,-23,-128
0,-39,-19,-15,-3,8,2,-128
-1,12,-4,-17,3,0,-1,-128
5,6,7,-4,-2,-8,3,-128
-1,-20,-6,3,3,-9,-7,-128
4,6,3,-1,-10,-3,2,-128
-13,-15,-1,-15,-14,-3,1,-128
-2,-3,-8,1,8,-1,-6,-128
4,-8,0,12,-4,1,-8,-128
9,9,3,-13,-16,-5,-4,-128
-7,-5,-4,5,2,5,11,-128
-8,3,0,7,42,11,13,-128
-7,-5,-12,-13,-1,0,0,-128
-2,-12,-2,-8,-2,8,0,-128
1,1,1,-9,-21,-2,1,-128
3,4,-2,-9,0,0,12,-128
4,13,5,0,22,-1,-2,-128
-11,-2,4,2,-18,0,-16,-128
5,3,-5,-33,-13,0,6,-128
-7,-9,-17,-16,-19,-12,-18,-128
3,0,6,22,11,3,37,-128
-1,2,15,15,-15,2,0,-128
-1,-7,-11,-12,-2,-7,-22,-128
8,11,1,3,25,-2,-24,-128
-2,-6,-6,5,-4,-2,0,-128
-11,-26,-12,-14,-17,-8,-11,-128
13,3,-5,-6,10,6,-5,-128
-1,15,-1,1,-5,-4,11,-128
-7,-16,-7,-11,-17,-9,-23,-128
-2,0,-2,8,-6,-8,-5,-128
3,-8,2,-2,4,-4,-4,-128
-2,1,-3,-6,-11,-7,-2,-128
-11,-24,-1,72,30,7,3,-128
0,4,-7,-13,1,1,-2,-128
-8,10,14,51,34,5,-27,-128
-8,-40,-7,-2,-1,-8,-18,-128
-1,15,-9,-15,-7,-3,-10,-128
6,9,-3,-9,-11,-2,8,-128
1,-4,-7,-9,-9,-2,7,-128
7,3,-1,-11,-9,-2,10,-128
1,-3,-6,-14,-3,0,1,-128
-1,-2,-7,-27,-10,-8,-22,-128
-1,15,-1,65,29,3,5,-128
-13,-6,-9,-23,-12,-2,-11,-128
-8,-33,-5,-2,-2,-7,-2,-128
13,20,-7,-25,-15,1,12,-128
13,26,19,65,12,0,-13,-128
-3,-24,0,19,7,-2,-5,-128
-17,-26,1,-8,-12,-8,-5,-128
-6,8,-6,13,3,-4,-3,-128
-2,-7,-14,-54,-27,-9,1,-128
2,3,4,36,19,9,8,-128
2,5,8,-11,-5,6,16,-128
6,5,3,-15,-6,3,8,-128
-5,-1,-10,-16,-21,-7,-8,-128
2,3,12,49,33,-2,-16,-128
-6,-10,-7,11,-13,-10,3,-128
5,9,5,12,4,-2,-2,-128
-5,0,-4,-14,-12,-7,-1,-128
-6,-5,-26,-29,-13,-3,-17,-128
1,-21,-9,-4,10,14,13,-128
-1,15,2,7,-1,1,-7,-128
0,-13,-2,-4,-7,-3,-11,-128
0,-18,2,-7,10,-7,11,-128
0,2,0,36,-8,-1,-37,-128
2,4,9,10,-4,-1,23,-128
-9,-22,-12,-16,11,-6,5,-128
-4,0,-7,-12,-18,-16,-13,-128
1,-20,0,11,3,-8,1,-128
2,2,-2,-2,-7,-5,7,-128
-8,-19,-3,-7,-15,0,2,-128
-9,-2,6,-37,4,13,14,-128
4,13,-5,9,12,7,5,-128
-3,-24,-7,-40,-21,-15,-33,-128
3,5,1,29,15,0,-1,-128
-9,2,-11,9,1,-5,-12,-128
1,23,5,-9,-8,2,12,-128
-4,-24,-2,-45,-11,-1,-6,-128
7,-14,1,-6,-4,-5,-9,-128
4,-1,-6,41,18,5,10,-128
-8,-8,0,-6,-7,-1,5,-128
-9,-37,-4,-8,0,6,10,-128
2,7,-1,-2,3,2,10,-128
5,-2,8,6,6,0,1,-128
-2,22,-1,19,3,-5,-16,-128
-11,-16,-3,-20,-14,-5,-20,-128
6,-2,-2,-48,-29,-8,9,-128
-11,2,0,-9,13,-4,2,-128
-12,-35,5,99,6,-11,-1,-128
8,10,8,28,0,3,8,-128
-1,-6,-12,-44,-18,-3,0,-128
3,5,9,12,12,9,-2,-128
2,16,-3,-15,4,-6,-2,-128
5,-8,-7,-9,-16,-11,2,-128
-14,-37,-14,-13,-20,-4,3,-128
-3,-1,-1,-3,13,4,-2,-128
0,10,1,-13,0,2,20,-128
1,0,-4,-23,-13,-2,-10,-128
6,-11,17,36,1,0,-21,-128
5,12,1,26,10,-10,-40,-128
-3,22,2,17,1,-3,6,-128
-7,-10,-12,-5,3,0,9,-128
-10,-17,-9,-14,-5,1,11,-128
-7,1,-2,-11,-8,-9,2,-128
-4,8,4,2,-6,0,1,-128
5,12,-1,6,-15,-8,-2,-128
1,6,-6,-73,-1,1,1,-128
0,11,33,118,33,12,5,-128
-1,-19,5,-11,-4,2,4,-128
-5,6,4,-16,-19,-3,13,-128
-2,-9,0,44,48,12,3,-128
-4,-2,-6,3,2,-4,4,-128
-1,-6,-5,-11,-4,-2,-25,-128
-8,14,-1,-9,-13,-20,-33,-128
6,-3,3,-3,-10,-4,7,-128
3,2,-23,-13,-10,-1,7,-128
0,-4,-6,-9,-5,2,0,-128
0,-5,-1,-3,-9,0,-5,-128
-4,23,-2,-5,-8,-1,-10,-128
-17,-29,-2,-19,15,-3,21,-128
2,5,6,16,3,-1,-3,-128
8,7,0,16,-2,1,-33,-128
9,15,-16,7,2,-5,-4,-128
-1,-11,-11,-20,-12,-4,5,-128
-3,-36,-5,-21,-11,-1,8,-128
-15,-22,1,-14,-5,-1,11,-128
-7,12,-8,-25,-12,5,1,-128
2,0,0,1,1,1,-12,-128
0,14,6,21,20,5,10,-128
7,6,9,5,-15,-9,1,-128
-2,-8,-21,-32,19,1,-16,-128
-5,-1,11,20,6,-7,-9,-128
-4,10,2,-6,8,2,-10,-128
0,10,7,13,-5,-10,14,-128
-10,-9,-9,20,-3,-4,-29,-128
12,3,-5,-11,-12,-6,-17,-128
4,-6,0,-10,14,9,5,-128
-11,-4,6,7,1,-7,5,-128
-21,3,-6,18,18,3,22,-128
10,2,1,-8,5,3,-7,-128
18,19,-6,-1,2,-6,13,-128
3,9,-3,-56,-16,-11,-24,-128
-4,13,8,47,7,-5,3,-128
-13,-35,-3,-3,3,3,4,-128
-1,2,1,-14,4,9,8,-128
-1,3,-1,-13,-5,2,1,-128
-7,-10,-19,-18,-13,-8,9,-128
-4,-2,-5,-7,4,1,-13,-128
0,-4,1,5,-1,-17,-15,-128
-2,7,4,-1,-2,1,-10,-128
8,4,4,4,5,4,-2,-128
-6,0,-5,-11,-2,-3,6,-128
-4,-5,-4,-6,-3,0,-14,-128
0,-3,-1,-3,-16,-10,3,-128
3,-10,-7,-38,-45,-12,-58,-128
-18,-9,-2,0,53,13,9,-128
1,-8,3,12,3,1,14,-128
-7,10,-15,-42,-21,-11,5,-128
1,-1,-8,-50,-12,-4,-1,-128
3,4,12,92,23,2,1,-128
3,12,-3,13,-15,0,5,-128
-7,-6,-3,-16,1,5,1,-128
7,10,5,-13,21,4,7,-128
4,-7,-8,-19,-26,-15,-8,-128
