Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-7,-4,-70,-8,-3,0,-128,-48
-8,-4,-14,-128,0,-4,3,-128
5,3,2,51,-11,6,-2,-128
1,-2,-1,-45,-27,-4,-7,-128
-8,1,2,-22,-15,-6,-2,-128
0,3,3,41,2,1,-3,-128
-1,0,-2,23,30,8,4,-128
-2,-4,-4,10,-3,-4,-6,-128
2,-5,-1,4,-4,-2,-3,-128
-4,-19,-6,-13,1,0,3,-128
4,2,-1,-62,-8,-3,2,-128
-3,-4,0,52,-5,-3,-5,-128
4,0,14,69,1,5,2,-128
-6,-1,8,-67,22,5,1,-128
3,2,3,-19,24,22,0,-128
1,-6,-3,1,1,5,2,-128
6,8,-3,-26,-25,-5,-2,-128
-5,-3,-7,-12,-30,-17,-7,-128
-10,-7,-3,18,23,2,2,-128
-7,0,7,26,3,3,1,-128
-4,-11,-15,14,-26,-21,-14,-128
1,-4,-6,-34,45,1,1,-128
-4,-3,-6,-48,-21,-9,0,-128
-7,5,4,16,-30,-8,5,-128
-5,-3,5,3,-6,-3,3,-128
-2,4,8,19,-4,-5,-3,-128
-4,1,9,10,10,4,-2,-128
5,6,-6,-25,-2,-6,-7,-128
-1,-4,-14,-128,-7,-9,-2,-128
1,0,5,46,-3,-2,-2,-128
9,1,4,80,48,24,2,-128
3,-4,6,53,-29,-6,-2,-128
-5,-8,-20,-56,-10,-8,-2,-128
-3,-3,-4,-26,-12,8,-5,-128
7,10,7,34,23,10,-1,-128
-5,0,1,23,-16,-6,-3,-128
0,-4,-5,-1,-17,-11,-5,-128
-8,-10,-9,-27,-16,-9,-2,-128
-3,-4,-3,-2,-29,-1,3,-128
0,-1,-3,-12,2,-3,-5,-128
-3,0,0,7,18,1,-8,-128
10,1,5,14,-17,-8,-4,-128
0,-1,-8,-14,0,-8,-3,-128
-4,-4,-11,-17,7,3,1,-128
-5,1,3,22,-8,6,3,-128
1,-1,-6,45,26,8,-1,-128
-4,-2,-11,-61,5,-3,4,-128
-1,-1,14,18,10,3,0,-128
2,7,-5,-80,-11,0,-3,-128
4,-1,-4,13,-15,-1,-2,-128
3,0,-1,25,14,3,-2,-128
0,-2,5,43,15,-2,2,-128
-2,-1,5,10,-14,-3,-2,-128
-3,-8,1,-18,-10,1,-4,-128
-4,-6,-6,-10,-31,-11,-4,-128
3,0,-2,19,-6,-7,-7,-128
-1,2,-3,18,-9,-7,-1,-128
2,-3,0,0,18,13,1,-128
-5,2,-1,-3,-6,1,3,-128
1,1,-4,-23,-18,-10,-6,-128
-3,-6,0,6,-3,-3,2,-128
-16,-7,-3,-27,-35,-18,-9,-128
-1,-6,-7,17,28,5,0,-128
7,7,1,5,48,17,1,-128
-1,-3,-1,-24,-24,2,2,-128
-4,-6,-4,2,-6,-3,-1,-128
-1,4,11,26,-34,-11,-4,-128
1,0,12,56,44,1,3,-128
0,0,-14,9,41,15,-2,-128
0,-2,-13,-111,-27,-10,-7,-128
-5,-4,1,20,-9,-6,0,-128
1,2,12,60,-16,2,5,-128
-2,-3,7,46,9,-5,3,-128
-3,-5,-4,-24,6,14,1,-128
-4,-4,-8,-53,-15,-4,-2,-128
2,-1,-9,4,11,-1,-5,-128
-2,-4,-16,-56,19,6,5,-128
-6,-8,-2,9,-21,-10,-3,-128
-4,-1,9,7,-23,-13,0,-128
0,-10,-9,4,14,14,-5,-128
-3,1,-5,8,-13,-6,-4,-128
-2,-5,-11,-12,17,2,-3,-128
-3,-2,2,9,10,2,0,-128
-5,-2,-6,-3,-49,-9,0,-128
-7,-3,-1,7,54,13,-5,-128
-6,-1,1,-1,-13,-7,4,-128
7,5,-3,-18,-32,-7,-3,-128
3,4,-4,-11,-9,2,-3,-128
-1,-2,7,13,18,1,-6,-128
-2,-5,-5,-16,-8,-4,4,-128
-5,-10,0,-1,-17,-10,-1,-128
-3,-10,-8,47,24,5,-8,-128
-2,-2,-4,-12,4,0,6,-128
-3,1,-7,-32,-9,-4,-7,-128
0,1,-1,0,-2,5,-2,-128
-1,-4,-5,8,-4,-3,1,-128
-6,-2,-8,-5,2,-10,-4,-128
0,-2,2,7,-6,-1,1,-128
0,5,8,34,-1,1,-4,-128
1,-2,-8,10,-12,-4,-6,-128
0,0,-11,-106,-79,-16,-3,-128
6,-4,-4,56,127,15,1,-128
-1,2,0,13,-31,4,0,-128
-7,0,-8,-81,-44,-11,-3,-128
1,-4,2,15,29,2,-8,-128
-5,-4,-3,12,-28,-15,1,-128
-2,-1,0,24,-3,0,0,-128
7,-1,5,-3,19,9,4,-128
-4,-3,-4,5,-12,2,-2,-128
0,-1,-16,-107,-14,-5,-4,-128
5,-2,11,35,-17,-8,-1,-128
-5,-9,-9,-30,-36,-10,-8,-128
-5,3,-1,18,35,-3,-2,-128
-1,-3,-8,37,50,14,-5,-128
3,-1,1,-54,7,12,9,-128
-5,-1,-5,-19,-23,-8,-4,-128
-3,2,11,12,-10,-6,-1,-128
1,1,-2,0,-15,-4,-7,-128
3,-6,-2,9,-21,-4,-4,-128
4,-1,0,18,-7,-4,-1,-128
-1,1,-6,-22,3,-3,3,-128
0,-1,-1,-12,-7,3,2,-128
-3,-6,-10,2,-4,1,0,-128
-4,0,-3,-3,-5,-1,-5,-128
-4,-6,-7,-15,-28,-11,-8,-128
6,1,1,31,31,-1,-6,-128
