Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1,8,-2,-1,-2,-4,-1,-128
-21,28,-10,-128,-40,-9,7,-128
-6,-43,-11,69,-11,7,-22,-128
20,6,14,36,44,7,-2,-128
21,28,33,71,36,7,17,-128
-3,-40,-32,-37,-15,-9,-2,-128
-13,13,-15,-47,-30,-7,-6,-128
19,-9,-40,-31,-9,-5,-3,-128
4,3,6,24,-4,-3,7,-128
11,11,29,-25,-1,2,10,-128
9,10,-57,21,3,3,10,-128
-28,-9,36,23,-17,-2,-4,-128
-16,7,34,-128,48,13,18,-128
7,-26,-80,127,48,12,6,-128
10,-4,9,31,14,1,-4,-128
1,19,-22,-41,-22,-6,-6,-128
6,-5,4,-88,-24,-8,4,-128
-38,-128,-11,3,-23,-15,-15,-128
-11,-20,-28,-35,-10,-5,-12,-128
34,14,21,-23,-4,-2,-6,-128
-24,34,-8,-6,-11,0,0,-128
48,19,1,-22,10,2,3,-128
15,-19,-28,-24,-20,4,0,-128
15,-25,6,10,-23,-6,18,-128
-7,-37,5,57,-16,-10,-3,-128
-28,50,35,-26,0,-11,-40,-128
-102,-105,-7,-13,-3,5,-1,-128
15,22,8,-65,-22,0,4,-128
27,69,12,127,70,17,12,-128
54,13,8,-44,7,-1,-15,-128
-41,-101,-25,-13,-21,-11,-28,-128
-21,7,8,-29,-30,-15,-14,-128
-6,11,5,-4,-1,-5,6,-128
2,7,-17,-9,-10,2,16,-128
19,11,5,-13,6,4,16,-128
6,15,-2,-128,-80,-14,-2,-128
8,3,-12,-5,-9,3,8,-128
-11,-11,11,-60,-23,-6,5,-128
25,31,16,26,-6,12,31,-128
-17,-20,7,37,50,9,-17,-128
-28,-52,-4,-29,-22,-20,-75,-128
-28,11,2,-10,-11,-12,-16,-128
-2,20,-23,-6,-4,5,19,-128
26,37,3,-117,-50,-3,22,-128
39,-69,-18,2,24,14,6,-128
-6,-39,16,-28,-9,-5,15,-128
48,-13,-15,58,-8,-10,-12,-128
-38,22,-18,-62,-7,-5,-29,-128
-5,4,25,127,57,7,3,-128
-15,19,-59,4,-12,-7,-13,-128
13,-25,0,127,57,15,20,-128
21,3,-5,-61,21,7,15,-128
-5,-12,32,-31,-9,2,4,-128
-8,3,-27,-91,-30,-6,3,-128
-25,37,-2,8,-1,-7,-28,-128
16,-14,-20,-6,-7,0,16,-128
14,-7,7,-12,-11,-8,-6,-128
-4,-47,-1,-3,-22,-8,-13,-128
-12,8,8,23,37,4,-10,-128
-29,56,-4,-41,-10,-1,-8,-128
-7,-19,15,64,21,4,7,-128
21,-84,-41,-42,-21,-6,-7,-128
33,31,8,21,19,-5,-10,-128
-24,38,12,127,0,-2,5,-128
-8,-20,-13,49,26,0,-2,-128
-13,-55,11,-25,-10,-9,-9,-128
10,-48,-9,-25,-15,0,5,-128
-24,7,5,23,-19,-10,-12,-128
-16,8,34,-36,3,3,-6,-128
27,32,-15,0,6,0,3,-128
-13,-15,-29,-1,-5,-4,-8,-128
-4,32,17,-9,-6,-11,-11,-128
-42,-1,9,1,-5,5,1,-128
11,33,18,-128,-91,-19,11,-128
13,-23,12,127,69,12,-4,-128
10,28,1,-128,51,14,-17,-128
-15,-28,-18,-110,-46,-15,-8,-128
-5,-32,-25,-70,-35,-6,0,-128
-84,-1,-13,-58,-24,-1,13,-128
15,-7,-13,27,-29,-5,7,-128
25,-42,8,65,44,6,2,-128
-23,29,11,-48,-5,-8,-21,-128
-6,-12,19,9,-15,-8,-11,-128
7,8,8,29,15,4,6,-128
1,3,-12,-46,-15,0,10,-128
10,8,-7,93,14,0,6,-128
-3,27,14,-100,-12,5,13,-128
54,-36,-66,118,-4,-5,-25,-128
-57,-58,-6,90,63,12,-1,-128
-10,-98,32,4,1,-8,-5,-128
-19,9,-3,-43,-19,-7,-20,-128
5,26,-5,-19,-12,-1,1,-128
13,24,7,-8,-5,8,-1,-128
23,20,15,-35,-22,-8,-10,-128
-65,29,-54,54,21,0,22,-128
16,37,-2,-7,-2,3,11,-128
-32,-102,-6,-5,4,1,-23,-128
-3,13,-1,7,4,2,-1,-128
-5,10,10,-55,-11,-3,0,-128
11,46,-22,-65,-56,-13,-15,-128
62,46,30,111,44,2,16,-128
-24,-38,13,127,36,-2,5,-128
-21,-38,-53,-107,2,-5,-24,-128
0,-26,-32,-42,-24,-8,-5,-128
3,18,9,-17,-16,1,4,-128
12,46,-3,-10,-15,-1,7,-128
0,17,21,-28,3,1,6,-128
21,28,-2,85,-11,1,8,-128
-26,-61,12,-37,-9,-1,3,-128
0,-32,-9,18,28,1,-22,-128
-87,-18,33,-18,0,-11,-23,-128
2,9,1,-26,-19,-6,-2,-128
13,42,-21,-9,-8,1,4,-128
3,-51,-41,-6,-7,-1,3,-128
12,10,7,-5,-7,4,8,-128
-5,7,8,2,3,8,16,-128
11,7,1,-25,-12,-14,-1,-128
25,55,13,-66,-71,-17,-19,-128
22,13,12,127,107,24,-40,-128
54,-13,-6,-79,-4,-14,-7,-128
-15,3,44,-19,-17,-6,25,-128
-36,-83,-17,44,9,-2,4,-128
-28,-56,-76,-51,-27,-5,-17,-128
-3,34,11,-12,-9,0,-8,-128
10,34,18,43,2,2,-2,-128
16,39,21,10,6,5,6,-128
10,-9,-17,29,-10,0,3,-128
