Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-1,-6,85,23,12,-1,1,-128
-7,-16,37,-44,3,-1,-4,-128
-1,11,-11,-2,-7,-6,-10,-128
-3,-35,-61,0,-10,-2,-9,-128
-5,25,-31,-7,-5,3,-5,-128
-3,3,23,-5,-8,-1,26,-128
2,-1,-54,-14,-13,-13,-15,-128
16,-49,24,-38,-22,-6,-2,-128
-9,8,26,-33,-5,-1,4,-128
-14,-5,27,127,19,5,-8,-128
5,-18,13,-37,-4,6,5,-128
8,70,45,-15,-11,-6,-13,-128
-8,4,30,19,-2,-4,-10,-128
2,5,-46,7,0,5,67,-128
3,2,19,-7,-8,0,-8,-128
5,10,-25,9,0,-2,-6,-128
-9,9,3,14,1,-2,-15,-128
1,-6,12,-10,-9,-6,-3,-128
-1,-15,-65,-7,0,-3,-2,-128
-4,35,44,3,-4,-3,-5,-128
-16,-19,-33,-17,-7,-1,-7,-128
-4,18,84,-72,-27,-2,-4,-128
6,9,51,31,-8,-2,0,-128
-7,12,10,-14,-13,-6,-7,-128
-2,-17,-1,-9,-6,5,3,-128
-1,4,13,-32,-23,-5,6,-128
-2,-9,-58,25,13,2,-4,-128
-6,-9,-55,16,19,10,2,-128
-6,-17,-20,-13,-14,-3,-15,-128
4,14,-4,-5,9,4,9,-128
3,-13,95,42,1,0,20,-128
-5,8,-46,25,25,2,-4,-128
5,10,36,-20,-8,-5,-6,-128
8,0,57,7,-9,-2,-7,-128
-6,7,-21,-4,-13,-2,-5,-128
-7,-16,-59,-7,0,-3,-3,-128
-8,-2,28,6,-5,-1,-2,-128
-13,1,24,-30,-24,-11,-15,-128
8,19,60,-11,12,4,5,-128
-15,-15,-42,13,5,-3,14,-128
6,7,-128,-10,-3,5,3,-128
-7,-44,82,-12,-6,0,-5,-128
-2,-3,84,11,-2,-10,-12,-128
0,12,-40,-12,18,2,-15,-128
-6,15,4,19,-4,-4,-7,-128
-4,-15,19,-31,14,10,3,-128
-4,-4,-85,-32,-9,-5,-4,-128
-7,-18,-57,-47,-8,-3,-4,-128
0,23,-17,-45,-21,0,1,-128
0,-9,51,75,17,2,-6,-128
14,12,-7,-7,8,3,3,-128
2,46,29,-6,-2,-1,4,-128
-16,-95,-87,49,4,1,-6,-128
9,13,36,-20,2,-3,2,-128
0,5,-7,-17,-2,-4,-11,-128
-5,-1,-7,-12,-9,-5,-9,-128
-1,15,67,30,15,0,-11,-128
-4,-13,71,-2,-3,2,25,-128
-3,-16,-46,-6,0,-5,-8,-128
-2,-5,-52,0,4,-5,0,-128
-2,6,23,-8,-8,-2,4,-128
-8,-35,-31,-40,-8,1,7,-128
7,25,98,-27,-8,-1,-4,-128
-2,0,-120,90,23,6,-6,-128
-5,23,-13,-33,-4,2,-23,-128
-6,-75,37,-23,2,4,18,-128
-8,23,-45,-13,-22,-9,5,-128
-8,0,-101,-29,12,-4,-8,-128
5,-23,-4,18,-5,2,-1,-128
10,42,-14,16,-3,0,1,-128
1,-32,-36,-45,-4,-7,-16,-128
-5,-3,-6,-45,-1,0,5,-128
-1,11,33,33,-4,3,6,-128
2,4,20,44,21,7,0,-128
-5,-11,89,-4,-16,-4,0,-128
-2,9,-31,-29,-3,3,1,-128
-2,-2,0,14,5,-8,-9,-128
8,-5,47,-27,-11,1,-1,-128
-6,-12,-96,51,21,8,7,-128
5,-10,-7,-12,-3,-6,-6,-128
-4,5,27,-13,-13,-8,-4,-128
15,-8,14,-7,-2,-4,-10,-128
