Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1,14,15,42,31,7,-1,-128
0,6,36,-9,-4,-6,-10,-128
-5,-2,-25,-10,-11,-8,-3,-128
4,-5,-9,-51,-59,-8,-1,-128
-1,-12,5,-2,39,6,-1,-128
12,4,-1,4,9,1,7,-128
4,8,2,-56,-11,-2,-4,-128
-3,3,6,127,-5,-6,5,-128
-3,-23,-8,-128,-11,-3,8,-128
1,-5,-15,9,0,-1,-15,-128
-3,0,6,26,-19,-10,-11,-128
-6,-4,-3,92,21,-2,-2,-128
-4,7,-9,44,3,1,3,-128
0,5,0,-67,0,5,2,-128
-6,-6,-18,-28,1,-4,-8,-128
-4,-4,42,-43,-26,-15,-3,-128
1,-10,-39,-24,2,-7,-8,-128
-3,-6,-28,2,-3,-3,-4,-128
-8,0,-6,49,14,-1,-2,-128
-8,-7,8,72,19,5,-1,-128
4,2,10,-128,-25,-7,-10,-128
3,3,1,127,-1,-7,-15,-128
1,4,6,-96,-9,7,22,-128
5,6,-6,56,-12,5,8,-128
-1,-1,37,-6,16,0,11,-128
-6,-4,18,41,8,-5,-8,-128
-7,-11,-46,-53,-8,-6,-7,-128
-7,-4,-7,-17,7,0,-3,-128
0,-1,1,-47,-9,-1,-7,-128
6,-2,3,44,-2,-3,-1,-128
7,0,-2,-122,-15,-1,3,-128
-2,7,38,58,5,4,-2,-128
-4,-9,14,-5,7,0,1,-128
-8,5,-20,-40,14,0,-2,-128
1,5,-30,-46,-32,-13,-7,-128
3,-29,8,-36,3,5,-1,-128
-3,3,-7,-30,9,-1,5,-128
-4,11,-5,87,-2,1,-1,-128
-5,-3,10,-63,-19,-5,-7,-128
7,14,5,0,-27,-8,-5,-128
-7,-6,-15,-16,-6,-7,-6,-128
-3,-2,-8,64,23,6,11,-128
8,17,13,18,-36,-4,0,-128
-13,-12,-1,-52,-17,-5,-8,-128
1,-9,-6,-40,24,0,-7,-128
-1,-3,5,123,0,-4,1,-128
0,7,-19,-128,-10,-1,4,-128
-4,-3,-15,95,2,1,3,-128
-4,-3,-6,-26,-5,-4,-1,-128
-2,1,10,127,10,0,3,-128
-1,5,9,-124,-7,-2,1,-128
5,5,0,-93,-17,-7,-8,-128
-2,-14,-9,41,16,3,0,-128
-2,-1,-3,16,1,3,-3,-128
4,3,-10,127,6,0,2,-128
-1,-7,37,-117,8,3,0,-128
-10,-6,-49,-36,-20,-5,-6,-128
-9,-17,-24,-20,-1,0,-3,-128
-1,-9,7,-18,27,-3,2,-128
20,38,28,58,-12,-4,4,-128
0,-7,2,-9,-4,-3,-5,-128
-16,-5,-12,-9,-36,-12,1,-128
