Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
26,0,-2,-84,-4,2,-22,-128
-13,-4,-1,-3,0,-2,5,-128
-2,-6,-8,-9,-1,-1,7,-128
4,0,7,12,-4,-10,-32,-128
-1,-3,-7,5,0,-5,-5,-128
-4,0,9,12,2,-2,13,-128
-3,-2,5,0,-3,1,-7,-128
-3,-5,-12,-32,-2,-5,-21,-128
-5,2,-26,62,-8,-4,-10,-128
-1,-1,-11,-103,-11,-2,-10,-128
-5,0,11,16,2,0,15,-128
0,-1,22,6,3,-1,45,-128
0,0,-38,-2,2,7,-10,-128
-2,3,6,2,-2,-7,-26,-128
1,3,-11,-8,-2,-2,-1,-128
-7,-8,-3,13,16,1,-2,-128
0,3,21,-15,-11,-4,-1,-128
-2,-3,-50,-13,-8,-8,-5,-128
-6,-4,19,24,11,-6,-10,-128
6,-4,-50,5,-6,0,1,-128
-2,3,29,5,-10,-5,-4,-128
-4,-2,-6,-7,-14,-3,-2,-128
-4,-11,41,-28,6,4,3,-128
-1,-1,5,28,28,6,-2,-128
-4,-6,1,3,2,-5,-4,-128
-3,-4,5,1,-1,-1,2,-128
6,9,18,15,-4,-4,-3,-128
1,-9,-41,-21,-10,-3,-4,-128
-7,-7,10,-13,-9,-1,1,-128
-9,-10,-11,-1,6,0,-3,-128
-2,-1,-1,32,3,-4,1,-128
-3,-1,-12,-25,-3,0,-2,-128
-1,-5,-16,-49,-7,4,1,-128
2,3,100,9,1,-8,-4,-128
-1,-10,17,22,5,-3,6,-128
-4,1,-24,60,-5,-5,-4,-128
-4,-12,-17,-83,-14,-3,-4,-128
-5,-6,-4,5,23,4,0,-128
2,0,7,-4,22,9,1,-128
-3,0,1,-2,-4,-4,-3,-128
2,0,-1,1,-2,-4,1,-128
-4,-4,-37,-3,-8,2,8,-128
6,-1,-10,-6,-1,2,-9,-128
-3,-2,-5,-2,-5,-1,0,-128
-2,-10,-4,-2,-4,-1,-5,-128
-1,-9,10,-2,2,2,11,-128
17,-1,3,-6,1,3,64,-128
-8,-1,-5,-4,-3,-3,-31,-128
-13,-9,-2,-2,-1,-1,-16,-128
-5,-2,-6,-2,-3,-1,-10,-128
3,-4,-2,1,0,-6,-9,-128
-2,-1,-2,0,-1,-1,7,-128
-7,-25,-52,11,-3,2,1,-128
-1,-3,17,-16,11,1,-2,-128
0,1,10,-1,4,2,0,-128
2,2,1,-4,-2,2,2,-128
1,0,-18,-1,-13,1,-2,-128
-7,-4,20,2,19,-2,-1,-128
2,7,68,1,-5,5,1,-128
-1,5,-39,2,-12,-3,-7,-128
2,0,-59,-10,-1,2,5,-128
-2,0,4,-12,6,0,-4,-128
-3,-6,23,8,-11,-3,0,-128
0,-1,-15,-4,-14,-2,-3,-128
-5,1,0,10,29,7,-1,-128
-4,2,-36,-23,8,1,1,-128
-1,2,23,-6,-11,-4,1,-128
8,3,66,44,-9,1,2,-128
-3,-5,-128,11,-2,0,-2,-128
6,-3,55,-59,12,-1,-1,-128
-1,0,-1,-30,-8,-2,-6,-128
0,10,52,25,1,-1,1,-128
-4,-9,1,4,-1,-2,5,-128
4,1,-38,-19,-8,-2,-1,-128
-7,-14,-14,2,-7,-4,-15,-128
-5,-4,16,8,-6,-7,9,-128
1,0,5,-4,1,-8,-2,-128
-7,-2,-1,3,1,-2,-4,-128
-1,-3,7,-4,1,-2,0,-128
0,6,37,8,1,0,-2,-128
1,3,-77,-10,0,4,15,-128
-1,-6,-4,1,-4,-7,-32,-128
-8,0,5,3,-5,-4,-16,-128
-3,6,5,0,-2,-1,16,-128
2,-9,-5,-3,1,0,15,-128
-8,-6,2,-1,-3,-1,-5,-128
-6,-1,-7,-6,1,1,16,-128
1,-2,-2,-9,-1,1,-2,-128
-7,1,2,0,-3,-4,-9,-128
3,0,2,1,-10,0,-21,-128
-13,-4,-11,-4,-5,-11,13,-128
-3,-6,-10,-4,-3,-5,60,-128
1,-1,2,-1,-1,0,7,-128
7,0,-1,1,0,2,18,-128
2,1,3,-6,1,8,2,-128
-5,-3,-10,-3,-2,-5,-21,-128
-4,-1,-1,4,2,-2,-15,-128
3,-2,7,3,-4,-2,18,-128
3,-2,4,-6,0,-3,-3,-128
-6,-2,-5,-2,-1,-7,-6,-128
1,-2,-3,5,0,-2,1,-128
-4,-2,-2,0,-7,-4,-4,-128
-2,-5,-24,-11,-9,-4,10,-128
4,9,20,-3,-1,0,-17,-128
5,0,10,1,7,4,2,-128
-2,-5,-3,10,8,0,3,-128
-4,-4,-2,3,2,-5,-1,-128
-1,-1,39,24,3,-5,-2,-128
