Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-1,-3,26,26,-2,-6,-16,-128
-16,-3,-8,6,0,-5,-1,-128
8,6,12,-9,-19,-2,7,-128
3,-2,-5,-30,21,-2,-10,-128
14,0,2,-22,-10,0,5,-128
-11,-9,-19,-2,3,2,-2,-128
-11,4,3,40,-9,-9,-8,-128
3,0,14,10,0,-3,-1,-128
17,-4,-84,-55,-19,0,2,-128
-12,-6,24,51,16,-1,-2,-128
-12,-4,-38,-2,-3,-6,-1,-128
-19,1,0,-2,-1,-1,-7,-128
15,-1,8,1,1,2,6,-128
-3,-4,-3,-6,-1,3,2,-128
-14,0,-15,-4,-16,-7,-6,-128
-6,3,-14,9,9,-5,-12,-128
16,0,39,-3,2,3,7,-128
19,-2,-43,-28,-4,-2,3,-128
-4,0,-4,-21,-19,-4,-4,-128
-13,-4,-7,31,35,6,-6,-128
-4,3,18,3,-16,-9,-3,-128
-9,-2,-1,-1,6,-1,-2,-128
17,1,-50,-23,-10,3,6,-128
21,0,-51,-20,-15,-3,6,-128
-2,-9,6,7,16,1,2,-128
-8,-1,12,-4,-6,-1,-3,-128
-19,-4,-6,12,-3,-10,-14,-128
4,0,10,-4,-4,5,3,-128
0,-8,-53,-5,21,-2,-14,-128
-13,-7,-29,-26,-13,-4,-5,-128
-11,4,-7,9,-9,-4,-4,-128
10,0,17,-22,-9,2,2,-128
13,6,8,-10,4,-1,3,-128
-8,-5,-12,-10,-5,-4,0,-128
0,-7,-4,6,-7,-1,3,-128
-9,-4,-12,-3,-4,-2,-8,-128
14,5,-6,-10,9,9,4,-128
-2,-1,25,21,-6,2,5,-128
-8,-5,-4,1,34,-2,-4,-128
-11,0,59,3,-3,-4,-10,-128
13,-8,-90,-32,-13,-9,-5,-128
11,-2,21,-16,-4,-4,1,-128
-7,5,12,-1,4,0,-2,-128
-15,-7,10,12,-6,-7,-9,-128
12,0,7,-11,-3,-7,-3,-128
23,0,1,-14,9,3,4,-128
-10,-1,-1,3,-6,-8,-2,-128
11,0,-3,1,-3,-1,2,-128
-12,-13,-10,-10,-5,-9,-9,-128
13,3,4,-3,-11,1,1,-128
4,-3,-15,-11,-2,-5,-4,-128
9,0,23,2,6,2,6,-128
-3,-4,3,1,-5,3,4,-128
-23,-4,-12,-8,-4,-4,-10,-128
5,0,1,-2,2,-2,1,-128
1,0,3,-6,-16,-6,3,-128
14,-2,3,-21,19,-1,5,-128
-12,-4,-14,-8,-7,-4,2,-128
-7,-6,-6,8,0,-8,-5,-128
-8,1,-4,-14,-24,-11,-7,-128
5,1,-18,14,23,10,-1,-128
19,-4,44,-40,-12,-3,5,-128
-15,2,16,19,-5,3,4,-128
