Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-6,-1,-3,-21,-20,-4,2,-128
0,0,15,51,13,-1,4,-128
-3,-11,-25,-36,-7,-3,0,-128
-8,-6,-9,32,6,8,9,-128
-6,-1,-17,22,-12,-5,-14,-128
7,-2,-9,-45,21,-5,-29,-128
7,-11,2,-20,11,4,13,-128
-3,7,31,37,-7,-1,-1,-128
3,-1,-67,-47,-21,-7,-14,-128
-9,-8,31,21,-28,-9,-6,-128
-1,-1,15,9,41,4,2,-128
-10,-11,16,-2,-22,-15,-10,-128
-1,3,-8,-17,17,5,3,-128
0,1,3,29,2,-1,6,-128
1,-9,-23,-68,-16,-5,-5,-128
-4,-8,9,36,-25,-7,1,-128
17,22,25,31,58,12,-3,-128
4,-10,2,-10,-6,-4,2,-128
-10,-11,-72,-42,-30,-11,-4,-128
-8,-1,34,-32,-20,-1,-7,-128
2,-11,-5,33,-15,-3,1,-128
1,7,2,-8,-9,-3,-4,-128
-2,8,-14,4,10,-4,-6,-128
-3,-6,6,16,2,-2,-5,-128
3,-5,35,-19,-13,-5,-9,-128
12,0,-38,-11,-4,1,8,-128
2,2,14,8,9,4,-3,-128
-9,1,3,38,-19,2,-5,-128
-5,0,9,-31,-5,-1,-4,-128
-3,-17,-35,-27,-15,-17,-4,-128
-1,-5,-32,-31,-23,-8,-2,-128
-1,6,19,3,21,6,3,-128
-4,-7,31,24,-12,1,0,-128
3,-9,-20,-16,18,6,6,-128
8,-2,-38,6,-15,-7,7,-128
-4,3,-17,-24,7,-2,-9,-128
-4,9,16,50,-2,0,-12,-128
0,2,0,-6,32,7,3,-128
-4,-1,-14,-19,8,3,-3,-128
5,-3,7,9,-12,0,-1,-128
-6,0,9,4,-4,-1,0,-128
-6,-5,-4,-10,-1,1,6,-128
-7,-4,2,0,-5,-2,7,-128
6,1,-7,-32,-15,-3,1,-128
0,2,1,-4,-8,-3,-14,-128
-6,-6,-4,-29,6,-6,2,-128
-8,10,8,17,9,-1,-5,-128
-5,-5,12,-10,-11,-6,7,-128
3,-2,-22,8,-20,-8,-2,-128
-2,-1,31,-61,-19,-6,-10,-128
2,-6,8,26,28,7,1,-128
-1,0,-30,-8,-3,2,-4,-128
0,0,-36,17,16,0,-1,-128
-6,-7,-20,-16,-4,-3,-5,-128
-1,-5,23,31,10,3,3,-128
1,10,9,-45,-31,-7,-7,-128
-3,-8,-7,6,19,0,-3,-128
-2,-10,-3,39,4,-4,-3,-128
-4,1,2,-36,2,-5,-10,-128
-5,4,5,-21,-11,0,0,-128
2,-8,-1,-8,-7,-2,-1,-128
-4,-6,-26,-8,-27,-15,-10,-128
8,1,-5,14,16,4,-3,-128
-4,-4,0,-5,9,-2,-6,-128
-8,-5,-1,-14,-14,-4,1,-128
-8,2,-4,-1,-24,-10,-7,-128
8,-1,18,42,41,17,11,-128
0,0,8,-13,2,1,3,-128
0,9,-20,-1,-3,-2,1,-128
-4,-2,18,-60,-32,-12,-8,-128
-1,0,-2,8,2,-1,3,-128
-5,-5,13,4,9,7,3,-128
-7,-9,-14,-17,-19,-10,-14,-128
3,1,1,8,29,7,9,-128
2,2,3,22,-13,-5,1,-128
1,7,18,-6,1,-3,-7,-128
-2,-2,-43,-12,-6,-2,-4,-128
-4,-6,-23,-18,-7,-3,1,-128
-1,2,26,-14,-24,-3,-4,-128
-9,-12,-26,7,10,-2,0,-128
-5,-1,22,-38,-16,-4,5,-128
-1,-2,34,26,-16,-7,-10,-128
2,-5,-2,-42,46,10,1,-128
-2,-3,-78,3,-6,-3,-4,-128
-2,13,23,2,-23,-7,-6,-128
5,3,10,-47,-23,-3,2,-128
-4,-3,23,23,47,2,-1,-128
-1,2,-2,5,-8,0,-1,-128
-3,-5,18,-4,-5,-2,-8,-128
-10,-11,-7,-18,-8,-8,-6,-128
10,12,5,3,0,4,7,-128
0,-14,-7,-13,-4,-5,-2,-128
-3,-5,-8,0,-11,-2,-8,-128
-4,0,0,-6,-15,-4,-6,-128
-3,-6,2,15,8,-8,-1,-128
-2,1,21,-12,-11,-5,8,-128
1,2,8,14,10,1,2,-128
-7,-7,-7,-14,-10,-4,-7,-128
-6,-6,-72,-18,-1,-3,-4,-128
-3,-5,8,-81,-11,3,2,-128
1,3,24,66,35,1,-2,-128
6,0,-15,14,-19,-7,-12,-128
-4,0,1,-58,-15,-5,3,-128
-4,-2,3,-29,-44,-4,-4,-128
2,0,17,60,36,6,8,-128
-4,-5,-7,-12,21,2,5,-128
-1,-4,-2,-11,-1,2,-5,-128
0,-4,8,-14,-5,-4,-1,-128
-3,5,38,35,-9,-8,-6,-128
-8,9,-81,-52,-14,-6,-5,-128
-10,-20,-40,21,-21,-8,-5,-128
4,-4,-15,-26,-9,2,4,-128
1,-5,23,81,76,10,-6,-128
-1,-5,3,6,-12,-6,-4,-128
-7,4,9,-14,-6,-4,1,-128
1,-4,8,-10,-7,0,4,-128
-1,-7,-21,-8,-11,-8,-6,-128
0,-4,1,-8,-12,-10,-7,-128
-3,-1,-12,-6,-7,-4,4,-128
-1,2,2,0,0,1,2,-128
-2,2,6,1,2,-3,-1,-128
-2,-8,-2,26,8,2,5,-128
-4,-4,-4,-13,-2,5,-3,-128
1,-9,-10,-50,-30,0,-10,-128
1,3,20,32,27,-2,-6,-128
4,7,25,-19,-13,-2,1,-128
-4,-2,19,45,-3,3,0,-128
-6,-10,-62,-36,-4,-7,0,-128
0,-13,3,-5,-3,3,2,-128
-9,-6,2,-8,-10,-5,-4,-128
-1,3,3,-49,-54,-7,-3,-128
-2,-3,0,-16,14,1,-1,-128
0,-5,10,9,11,1,0,-128
-2,-1,-9,19,-19,-6,-10,-128
1,1,12,-11,-8,-2,1,-128
-2,-7,33,8,14,2,6,-128
1,2,-29,19,-23,-10,-1,-128
-7,-21,-72,-76,2,2,-2,-128
-8,-7,10,15,-32,-5,-12,-128
0,13,14,12,30,2,1,-128
-5,-6,5,-14,-3,-3,-1,-128
-7,-2,-4,-14,-11,2,0,-128
1,0,14,-2,-3,-3,1,-128
4,7,49,-3,-12,-10,-2,-128
-5,-14,-53,4,-11,-3,-8,-128
-4,-6,-55,-2,12,2,-10,-128
-4,-3,-9,-9,-22,-8,-2,-128
-10,2,2,-6,-4,6,3,-128
-3,7,35,47,35,9,0,-128
3,-12,-14,-6,-8,-7,-2,-128
9,1,-12,-8,-8,-3,0,-128
-5,1,3,-52,-16,-5,-7,-128
-1,-7,-12,17,-1,-5,-8,-128
-1,5,38,21,22,7,5,-128
-3,-12,-50,23,-1,0,2,-128
-3,-5,-4,-42,-6,5,7,-128
-1,15,1,18,-7,-1,-2,-128
9,-7,-40,-38,6,-2,-3,-128
-5,2,35,44,-10,-9,-9,-128
-1,0,-10,-87,-16,-3,4,-128
-18,-8,-13,98,18,2,-4,-128
7,7,17,59,22,2,0,-128
0,-8,26,-56,-12,-3,-4,-128
4,-5,-20,-62,-19,-2,2,-128
0,17,38,112,75,17,9,-128
-4,3,39,1,-10,-1,5,-128
-5,-3,-44,-34,-29,-10,-9,-128
-10,-17,-67,-40,-25,-12,-8,-128
2,7,69,0,15,5,2,-128
4,2,7,15,-16,-4,1,-128
1,-5,2,25,4,-6,-11,-128
-7,1,3,3,6,-1,-1,-128
-1,2,30,-4,-5,0,3,-128
-4,2,50,-4,-6,-5,-11,-128
-2,-6,-94,-32,-9,-6,-3,-128
-5,-9,1,-45,-16,-8,2,-128
