Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
2,17,30,10,-3,-2,-8,-128
0,6,29,11,16,-2,-12,-128
3,-7,-58,-9,4,7,1,-128
4,4,-30,25,6,2,32,-128
-1,-10,48,11,-10,-1,3,-128
-6,-2,-40,-25,-2,-6,-5,-128
-9,-9,-41,17,-1,-3,-13,-128
4,8,4,-59,-6,-3,1,-128
2,3,10,18,0,0,-3,-128
-2,3,20,3,-2,-1,-2,-128
3,11,-20,5,-9,-8,-7,-128
3,15,119,30,4,1,7,-128
-1,-4,-2,-9,-5,-2,-2,-128
0,-1,9,5,-1,0,-1,-128
1,1,6,30,2,-2,-2,-128
-2,3,1,-9,-4,-1,2,-128
-2,-4,-8,-6,4,4,-13,-128
-1,0,12,4,-4,-9,4,-128
-2,1,46,11,3,5,-7,-128
-8,-7,-81,-6,1,-10,-22,-128
-4,-6,-1,-1,-6,0,18,-128
-1,5,26,-5,-10,2,17,-128
31,-2,-4,8,6,14,50,-128
-5,1,-5,-3,1,6,-4,-128
-12,-1,6,32,-6,-8,-13,-128
-23,16,-13,-71,-11,0,-5,-128
17,4,-3,10,-1,1,8,-128
-16,-26,11,27,3,1,4,-128
-2,5,38,47,9,-5,4,-128
-5,-4,-15,-23,-2,-5,-25,-128
0,-3,-10,7,-4,2,4,-128
5,5,1,-25,-6,-3,30,-128
-4,-1,-4,-10,-5,-7,1,-128
-7,-9,-17,-4,-10,-6,6,-128
4,10,22,17,10,11,-1,-128
2,6,-2,-11,11,7,-28,-128
-4,-1,-7,0,-17,-12,-9,-128
-2,1,8,-6,-7,-7,-9,-128
-2,2,0,-7,-8,9,13,-128
-1,-2,-12,-1,20,10,-18,-128
3,5,3,4,34,14,4,-128
-5,-5,24,1,-14,-10,-16,-128
-3,-5,-27,11,1,-5,8,-128
-4,-1,15,12,-1,-10,0,-128
4,4,2,-15,-8,-1,-19,-128
-21,-24,5,1,-7,-5,-18,-128
-10,-18,-29,-10,-1,-7,-14,-128
-3,-1,-14,-6,4,9,11,-128
24,4,3,14,10,4,7,-128
9,0,6,6,0,-8,-18,-128
3,0,-14,-6,-5,1,1,-128
-2,3,21,2,-2,-4,-5,-128
1,2,13,-7,-5,-5,-41,-128
-3,-4,0,2,-7,-4,49,-128
-5,-10,-20,20,8,3,10,-128
-5,-3,-16,-8,5,5,-1,-128
0,1,10,-3,-2,-4,-5,-128
-7,-7,-27,-7,0,-10,-41,-128
-5,-4,-5,-4,-11,-8,-9,-128
3,6,38,4,-21,-6,-4,-128
-10,-15,-22,-11,-3,-3,-8,-128
0,-7,-8,20,33,15,8,-128
0,4,1,3,7,5,0,-128
3,4,3,-4,-9,-4,7,-128
-1,0,5,-5,3,2,16,-128
5,-5,-8,-23,-9,-5,-1,-128
-6,-5,-5,-2,-26,-16,-15,-128
-5,0,36,66,20,-3,-38,-128
2,-3,10,5,-3,4,-30,-128
-10,-9,-84,-4,9,5,103,-128
8,8,25,6,26,-3,-18,-128
-3,-6,11,-4,0,5,43,-128
-9,-8,40,-28,-12,0,-8,-128
0,-8,-34,-48,-21,-5,-12,-128
3,-9,-31,8,-12,-6,-12,-128
-4,-3,5,26,9,-5,-6,-128
-8,-5,-4,4,-4,-2,-5,-128
-3,0,-7,-4,0,-1,-4,-128
-5,-3,-1,-4,-4,-4,-3,-128
0,7,-3,-6,4,3,-2,-128
-3,0,0,-5,-1,-4,-1,-128
2,7,82,3,-4,-2,2,-128
-9,-10,-9,-3,-6,-7,-4,-128
-8,-19,-41,6,-8,-13,-2,-128
3,8,-9,-49,-9,9,-3,-128
-1,5,-3,4,9,6,-39,-128
4,3,24,60,31,9,63,-128
-7,-3,-11,-2,1,-7,14,-128
-2,5,3,-14,-9,-9,-9,-128
1,-1,-14,-10,-10,-14,-13,-128
4,17,29,-33,-11,12,0,-128
-7,-10,-9,21,1,0,-6,-128
1,-3,-6,62,35,6,-4,-128
0,-6,-19,-26,-3,-1,-3,-128
-2,2,-3,-10,-10,-8,-5,-128
1,7,0,-21,-14,-8,-5,-128
4,1,-5,-20,-16,-3,-2,-128
-5,-10,-11,37,-7,-6,-6,-128
0,1,21,7,-3,-3,-1,-128
1,4,37,-12,6,-2,0,-128
-2,-5,6,-15,0,2,-1,-128
5,2,-10,-5,-2,0,5,-128
0,-5,-7,-5,-1,2,6,-128
1,-2,-5,-2,-7,-3,-1,-128
-8,-2,-6,5,4,4,-17,-128
-4,5,-1,1,0,0,8,-128
5,-2,-4,3,6,-1,5,-128
-5,4,4,-1,2,4,3,-128
2,-2,-5,1,-3,-7,-39,-128
-5,0,-9,-11,-21,-17,-14,-128
2,-10,-13,-1,-10,-6,-27,-128
5,-4,12,7,4,4,5,-128
-5,-1,-10,-6,2,12,41,-128
-1,-2,3,6,18,10,11,-128
-1,6,6,10,5,-4,-4,-128
-5,-12,-6,-9,-6,4,4,-128
-5,-8,-5,-26,-10,-6,-3,-128
2,-4,-10,-1,-9,-2,-4,-128
-5,-4,2,4,6,-3,-20,-128
1,0,-6,20,4,0,-9,-128
-1,0,-1,23,4,-2,24,-128
2,8,12,-26,-13,-8,4,-128
-7,-11,-10,-31,-15,-5,22,-128
-4,-4,-15,29,6,-1,-23,-128
0,-4,8,9,22,12,-2,-128
-6,-8,1,-16,0,-2,-10,-128
3,5,29,-4,-8,-7,-5,-128
4,6,5,-18,-10,1,0,-128
-3,-6,6,-26,-11,-5,1,-128
-4,-6,-11,87,18,1,-29,-128
-1,1,-6,-1,-1,2,13,-128
-2,-8,-12,-21,-8,-6,8,-128
-1,2,-5,-13,-8,-6,6,-128
2,7,7,-8,0,-1,-5,-128
0,-2,-2,-35,-17,0,-1,-128
-3,-9,-1,-35,-18,-2,-7,-128
2,6,16,53,17,-8,-2,-128
-1,1,9,5,11,2,-18,-128
-2,-2,13,-13,3,2,21,-128
-6,-7,-40,-6,-6,-4,2,-128
-9,-4,-36,-23,-3,-3,-15,-128
1,-5,-22,-14,0,1,5,-128
4,4,12,-3,-6,-4,-8,-128
-6,-4,4,-4,-4,-7,-5,-128
0,-3,0,-5,-4,-3,-4,-128
2,3,3,7,1,-4,-6,-128
-7,-10,1,-1,-4,-6,-31,-128
-4,0,10,1,0,2,43,-128
8,2,0,-5,-2,1,-1,-128
1,13,3,-14,-12,-9,5,-128
-6,-6,4,-20,-5,-5,-10,-128
-3,-5,-2,-13,-19,-6,-9,-128
-4,0,1,52,7,2,-4,-128
-3,-11,-10,-13,14,11,3,-128
-1,0,-5,-7,16,9,6,-128
0,-6,-9,-41,-14,-3,-1,-128
-1,-4,-9,41,16,-6,2,-128
1,3,0,-1,3,1,-5,-128
-4,-2,1,-5,-6,-5,-6,-128
-1,-3,-1,-13,-11,-7,-4,-128
-1,-6,-4,-2,-10,-7,-19,-128
-1,-1,-3,-18,-17,-8,31,-128
4,3,3,-1,-2,4,7,-128
-6,-4,-2,-18,-1,6,3,-128
-5,-11,-8,11,14,8,-6,-128
1,-1,-5,2,0,1,0,-128
-4,0,7,0,-3,-4,-12,-128
-1,-3,-5,-16,-18,-10,-25,-128
-2,1,-13,-13,-10,0,49,-128
1,0,-1,-14,-5,1,11,-128
-4,-11,3,-15,-7,-1,3,-128
1,-3,-5,31,-4,-1,-14,-128
-2,3,4,20,19,2,1,-128
-3,-7,-10,-9,10,9,0,-128
-1,5,-2,-14,-13,-12,-7,-128
3,0,1,4,1,-1,1,-128
