Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
12,16,127,-25,1,14,23,-128
9,4,-122,27,10,3,-35,-128
-27,2,-5,-11,-7,-20,-33,-128
-15,2,10,-9,-8,-9,4,-128
31,-9,2,-1,6,13,36,-128
54,2,-12,7,13,15,-5,-128
-48,30,100,-34,-8,-14,24,-128
-51,-45,-31,44,-7,-10,-60,-128
-14,-4,-60,-38,-4,-9,-8,-128
40,16,55,61,19,19,35,-128
18,0,14,-15,-3,-2,2,-128
-12,-1,-57,-14,0,11,1,-128
16,-11,-19,-12,0,-3,-3,-128
-45,20,-20,-17,-9,-11,-32,-128
-11,-44,-17,-15,-15,-3,1,-128
-30,16,-12,-32,-11,-4,9,-128
32,18,127,110,32,20,20,-128
21,7,22,-4,-4,0,0,-128
-17,7,-26,-15,-8,-12,-24,-128
17,10,-16,-13,-9,-8,-11,-128
-6,-50,-40,-29,-4,2,8,-128
27,2,-38,6,5,23,91,-128
36,2,-81,1,5,11,14,-128
15,1,-16,-1,2,9,15,-128
8,-5,-99,-12,4,7,22,-128
-3,4,109,6,-3,-14,-14,-128
-17,-6,-44,1,-2,7,10,-128
9,16,-53,-62,-9,13,33,-128
-1,-20,-1,-3,3,2,-7,-128
20,-2,-49,-33,-10,-3,21,-128
-42,21,127,31,11,7,2,-128
29,15,-98,54,12,6,-3,-128
-42,-24,-33,-12,-6,-21,8,-128
14,19,-7,-7,-8,-7,-15,-128
-3,6,-13,-8,-4,4,-6,-128
-9,-8,-64,-48,-11,-2,5,-128
0,-13,-47,-2,1,-1,-26,-128
19,-3,107,-3,-4,-4,-1,-128
-18,-7,-70,-6,-4,-2,2,-128
-33,-5,21,-6,-5,-5,-4,-128
28,-8,15,-37,-9,-1,10,-128
20,37,-71,30,10,4,6,-128
-31,-22,49,17,2,6,15,-128
21,8,22,15,12,12,0,-128
33,-5,-16,-2,4,11,-1,-128
-1,-3,-128,-55,-17,3,10,-128
-15,14,127,96,22,16,20,-128
-18,-4,-37,-2,0,-6,-3,-128
-60,-5,-40,-18,-14,-16,-14,-128
38,6,-35,-13,-6,-6,-31,-128
-16,1,33,-6,-1,-12,-56,-128
8,-4,-26,0,1,1,27,-128
12,-5,-11,3,0,10,3,-128
-5,3,0,-4,0,3,10,-128
20,-8,-18,-8,0,-3,-25,-128
8,30,-128,-58,-8,-6,7,-128
36,56,-10,8,4,-11,-26,-128
