Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1,-5,-9,-32,-5,-4,-5,-128
-8,-4,5,28,1,-4,0,-128
-2,0,-1,-6,-15,-2,-3,-128
6,6,0,-43,-7,3,10,-128
2,-1,2,-35,-10,-8,-8,-128
-10,-6,2,46,22,1,-6,-128
0,-1,-8,6,9,-1,-1,-128
-2,0,8,-2,-6,-2,-2,-128
-5,-6,-2,-24,-22,-7,-2,-128
-1,0,-35,18,2,3,6,-128
-3,-1,-3,13,0,0,-8,-128
3,5,6,-23,-8,-10,-13,-128
0,0,7,38,5,2,6,-128
0,-1,4,18,-7,0,-1,-128
8,2,0,-30,-40,-6,2,-128
1,-4,-11,27,5,-4,-1,-128
-8,0,9,-3,9,4,2,-128
-2,3,17,-25,-1,0,3,-128
-2,-4,10,-20,-12,-4,-7,-128
8,-1,-67,-55,-24,-2,2,-128
1,0,18,75,26,5,-1,-128
-4,-3,4,10,0,-8,-11,-128
3,6,1,-16,-6,-2,-4,-128
-3,-6,1,-11,-20,1,0,-128
4,4,9,-4,-7,-3,0,-128
1,2,-23,-17,-28,-10,-5,-128
-7,2,-12,-18,-3,5,3,-128
-4,-7,0,-15,0,1,0,-128
1,-3,5,60,7,0,-4,-128
3,0,-4,-22,-25,-9,-3,-128
3,6,-47,7,10,3,1,-128
-2,6,20,52,9,0,-5,-128
-3,-9,-14,-4,-4,1,1,-128
-8,-12,30,-11,-7,-3,0,-128
-1,-2,5,13,-8,-7,-7,-128
5,3,-42,-35,-28,-8,-1,-128
-4,-3,-31,38,9,-7,-4,-128
-2,0,16,-28,5,2,-3,-128
-2,-3,-5,12,-11,-9,-8,-128
2,-4,-2,-29,-9,1,3,-128
-5,-4,-2,18,-3,-7,3,-128
-2,2,-2,-51,-37,-6,8,-128
-5,-7,-4,35,48,3,-13,-128
10,1,-1,-11,6,0,-1,-128
-6,7,9,25,16,3,3,-128
-5,-2,-4,-1,-1,1,-3,-128
-5,-5,-15,-48,-19,-9,7,-128
0,-5,-2,14,6,1,4,-128
-6,0,1,-3,-3,-7,-23,-128
0,6,27,-26,-6,-5,-2,-128
-4,-1,-21,23,-4,-1,2,-128
-5,-5,-9,-31,-36,-9,-5,-128
-7,-1,-4,-2,-25,-8,-7,-128
-4,1,16,40,36,7,3,-128
1,1,-1,4,-3,-8,-6,-128
4,-4,9,-22,-14,-13,-5,-128
1,0,37,22,31,6,7,-128
3,-3,-63,-1,3,1,1,-128
-3,3,4,-8,-10,-4,-6,-128
-3,2,-9,-12,-13,-2,7,-128
-2,-2,7,-20,-13,-2,-8,-128
-8,-7,-12,6,-3,-3,-1,-128
0,1,-4,15,16,3,2,-128
1,0,6,7,-2,-3,-1,-128
-3,2,6,-17,-4,-3,0,-128
-8,-6,-4,-4,1,-2,0,-128
-5,-6,-7,-47,-8,-4,-6,-128
6,-6,-1,33,8,3,1,-128
-1,3,7,52,13,-2,-6,-128
0,5,7,-37,-2,0,0,-128
-2,1,-10,-89,-26,-6,-7,-128
-1,-5,6,45,31,6,3,-128
0,-2,11,5,14,3,2,-128
-7,-6,-22,47,-20,-10,-7,-128
2,-4,-1,-51,6,5,5,-128
-4,-7,1,16,-2,-7,1,-128
-3,-2,-7,-50,-21,-3,-3,-128
1,0,4,37,4,0,1,-128
-1,2,6,3,-2,-5,-7,-128
-6,-6,-26,-30,-30,-10,0,-128
4,-2,2,-14,-8,-6,-2,-128
-2,6,-20,15,6,3,0,-128
-7,-8,25,21,2,1,-6,-128
-5,-6,-10,-25,-13,-1,-6,-128
0,-1,-7,-26,-7,-1,2,-128
1,-8,-4,9,-4,-5,1,-128
3,2,1,8,1,1,12,-128
0,6,8,21,19,5,-6,-128
0,-7,-1,21,22,-7,-11,-128
0,3,20,35,-14,-8,1,-128
-12,-7,2,-28,-15,-8,-6,-128
0,-4,-42,-16,-1,3,-1,-128
-1,-1,1,17,16,3,-9,-128
-9,-3,0,-3,-25,-7,2,-128
0,-2,-1,-19,-6,-2,3,-128
15,9,26,30,32,8,-1,-128
0,4,8,-29,-16,-4,-3,-128
-4,-4,-36,33,18,3,2,-128
-9,-12,-6,-3,5,2,4,-128
-6,-4,-1,-31,-12,-5,-1,-128
-6,-5,14,3,-15,-2,-4,-128
0,3,7,14,8,-3,-3,-128
-1,-2,-13,-9,-13,-3,-1,-128
11,9,7,27,44,8,5,-128
1,2,37,13,-35,-10,-8,-128
-6,-6,3,-31,-14,-8,-10,-128
-4,-12,-49,33,12,0,0,-128
0,4,-24,-33,-18,-2,-4,-128
-1,4,14,43,3,-1,-3,-128
1,-2,-1,-8,-1,-5,1,-128
0,-2,2,-30,-24,-7,0,-128
-2,-4,4,-53,-18,-7,-8,-128
-1,1,4,24,9,-6,-4,-128
-6,-6,-20,7,-16,-3,0,-128
7,4,6,46,59,9,-2,-128
0,-3,6,-7,-8,-1,-2,-128
-3,-10,-13,-18,-15,-6,3,-128
-4,0,5,-5,4,-1,-1,-128
-5,0,-3,17,-4,-5,-1,-128
-2,3,-1,-6,-8,-3,0,-128
3,3,8,1,-7,-3,-5,-128
-4,-5,-15,-53,3,-2,-7,-128
0,-5,-10,20,-7,2,-1,-128
-8,-10,-9,1,-10,-4,-1,-128
-1,3,7,5,14,0,4,-128
0,-2,2,-10,-5,-1,0,-128
1,0,1,-25,-25,-1,4,-128
-3,-4,1,24,15,-7,-12,-128
0,-8,0,21,20,1,-6,-128
-2,9,18,4,1,-4,-8,-128
-1,-4,-16,-13,-7,-2,1,-128
1,-4,-11,-17,-12,-3,1,-128
2,-4,13,-30,-34,-9,0,-128
2,1,-3,-33,17,5,4,-128
-4,-2,-7,51,29,7,1,-128
-10,-4,-16,50,-4,-1,-1,-128
0,-2,-10,-10,20,-1,-3,-128
-4,-8,14,4,1,-2,-4,-128
-4,5,-4,-1,9,-4,-4,-128
4,5,3,-14,-4,-2,-2,-128
-5,-3,-4,15,-9,-1,3,-128
-2,-8,-5,-32,8,-5,-1,-128
4,-9,-5,-36,-16,-4,-13,-128
2,-1,1,12,-19,-2,1,-128
-3,4,8,-39,17,1,5,-128
-10,-5,-3,10,11,-2,-12,-128
-11,1,1,-18,-16,-6,-2,-128
2,-6,-3,76,-2,-1,2,-128
8,5,24,-18,40,1,-2,-128
-6,2,-30,36,15,3,0,-128
-4,-6,-9,-8,-13,-1,-1,-128
-3,-1,4,-9,-6,-2,-2,-128
-4,-1,0,-12,-13,-8,-4,-128
-1,-2,3,8,-9,-3,3,-128
-3,0,3,-7,11,0,-4,-128
-3,-2,8,-1,4,-2,-3,-128
6,-5,-8,-14,-10,-2,2,-128
-7,-11,-5,21,3,0,-3,-128
-3,2,-26,-19,11,2,4,-128
-3,-2,1,29,14,-4,-1,-128
5,-1,6,-14,-4,3,1,-128
4,1,-3,-96,-27,-9,-13,-128
1,-1,-3,54,-5,-7,-7,-128
1,0,6,32,2,0,-1,-128
-4,-2,6,-78,-21,-5,-4,-128
-9,-7,-49,-4,-46,-13,-4,-128
1,-1,5,-4,5,3,1,-128
10,7,12,55,53,14,6,-128
2,4,0,-24,-4,-4,-4,-128
-6,-9,-16,-16,-42,-11,-7,-128
-7,-3,3,19,20,6,-2,-128
-5,3,13,-11,-9,-1,-2,-128
-4,2,-32,-15,-13,-4,-2,-128
-9,-17,21,2,-8,-4,-6,-128
-1,-3,2,-1,-6,-2,-2,-128
3,-6,-22,-30,-3,0,1,-128
0,-2,-13,5,-12,-1,9,-128
2,5,10,22,14,7,6,-128
2,0,-10,-10,9,3,0,-128
6,-7,3,-24,-4,-9,-20,-128
-10,-4,3,39,-2,-2,-10,-128
-6,1,6,-30,-5,-4,-6,-128
-5,-3,-2,-13,-20,-2,-2,-128
-4,-8,-4,17,5,4,6,-128
4,5,-6,-59,2,1,5,-128
-3,-2,-4,-8,-32,-7,-5,-128
1,3,22,58,56,13,1,-128
-1,-9,0,-11,-20,-11,0,-128
-3,-8,18,23,3,-1,-2,-128
-2,8,-49,-17,-12,-4,-2,-128
-4,3,5,-18,-26,-1,-1,-128
-4,-6,-26,-60,-23,-8,-12,-128
7,1,19,73,20,3,1,-128
4,3,15,-16,2,-4,2,-128
-6,-11,8,-13,2,-2,-6,-128
-4,-4,-8,-89,-39,-11,-7,-128
1,7,14,79,48,15,11,-128
1,-9,-11,2,7,0,-1,-128
-7,-9,-4,-16,-31,-11,-9,-128
