Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
2,-31,4,30,10,-1,3,-128
-2,57,-4,-30,-5,-4,-29,-128
-29,27,-3,-6,-1,-2,-27,-128
-12,-71,-7,-22,-7,-1,13,-128
6,6,3,18,1,-1,6,-128
4,-7,0,7,-7,-7,-5,-128
11,-13,-4,16,4,1,8,-128
4,12,-1,-37,-6,-4,2,-128
6,20,4,67,4,-6,-10,-128
16,58,7,-51,-10,-1,-2,-128
5,-30,-4,52,0,4,1,-128
-32,-52,-14,8,5,1,-16,-128
-2,-22,-5,5,-2,-2,-7,-128
2,25,-6,-47,-5,-2,29,-128
-15,-37,-4,-8,-9,-8,6,-128
-10,58,0,-12,-12,-9,-14,-128
2,6,2,-34,-10,-4,-1,-128
22,30,1,23,0,1,12,-128
6,-9,5,51,21,8,4,-128
-18,-2,0,-1,1,-2,-21,-128
-11,-27,-6,-47,-9,-6,0,-128
17,-14,2,-40,-22,0,14,-128
-30,6,5,84,15,1,0,-128
-28,17,2,-47,-5,-10,-38,-128
-7,-25,-3,-36,-9,-4,13,-128
13,37,4,-1,-2,4,12,-128
4,-42,4,26,-2,2,2,-128
-12,-2,-2,-35,-6,-8,-20,-128
-12,5,-9,35,9,-5,-38,-128
7,7,-1,-9,-5,-4,21,-128
-17,-10,-2,29,7,0,30,-128
-9,1,-8,23,13,-3,-54,-128
-8,-28,1,-1,6,2,-13,-128
5,8,0,-8,-8,-1,15,-128
-2,21,-3,-14,-11,-1,6,-128
11,-71,-4,-11,1,8,8,-128
7,55,4,-62,-19,-7,0,-128
-6,0,7,86,8,2,2,-128
-10,-13,-3,-38,-10,-4,-21,-128
1,24,2,3,-4,0,13,-128
9,-35,-4,-23,-5,-2,6,-128
7,-17,-6,41,16,3,-2,-128
-4,-66,-8,-4,-5,-8,-18,-128
5,80,-4,-10,-2,4,21,-128
-6,-27,-2,-13,1,0,19,-128
-10,-27,3,-12,-2,-2,-10,-128
9,12,-7,-14,9,7,33,-128
-2,-42,-8,-16,3,1,9,-128
-7,1,-2,-21,-13,-13,-17,-128
-7,-11,2,6,2,1,-12,-128
11,41,1,-5,-11,-9,0,-128
-7,-51,1,-8,-7,-3,-4,-128
11,44,1,44,0,0,1,-128
-4,-82,-4,-13,-14,-10,-7,-128
-11,-4,-12,47,14,2,-11,-128
-5,-36,-4,-20,2,-4,-3,-128
0,8,-3,-3,2,0,2,-128
5,17,4,-16,0,2,2,-128
-1,9,4,16,-2,0,-4,-128
11,11,-5,-13,-9,-3,3,-128
-2,-2,2,21,-1,-3,-14,-128
13,21,-4,-9,-3,-5,-28,-128
-12,-22,-2,-108,-31,-6,45,-128
-1,-43,-6,41,2,6,15,-128
-22,-11,-4,34,17,-10,-16,-128
-10,32,1,-8,-10,-9,-15,-128
12,10,-4,17,0,7,20,-128
12,-18,-5,-19,-4,2,-9,-128
-14,-51,-8,-11,-7,-6,-30,-128
13,13,3,-4,3,7,15,-128
-7,16,3,-18,-6,5,11,-128
6,32,8,-3,4,-8,4,-128
-5,54,7,95,0,-6,-9,-128
8,-60,-8,5,16,2,-2,-128
-7,15,-5,-11,-8,-6,-8,-128
-13,-19,-14,-11,-4,0,-11,-128
3,-15,-3,-17,-8,-4,5,-128
0,16,-5,-38,-12,-8,-11,-128
6,15,2,66,3,-6,-5,-128
17,29,0,18,6,10,27,-128
-6,-8,0,-18,-1,3,12,-128
-26,4,-1,-8,-5,-1,-24,-128
-15,-61,-9,-6,4,-5,-18,-128
3,-45,-1,-9,-11,-7,16,-128
-4,51,-2,-1,0,-7,5,-128
15,-30,-3,3,-7,-5,-12,-128
-5,-9,-3,-6,0,-3,-22,-128
10,15,1,0,-1,-2,3,-128
0,27,-2,-18,2,3,2,-128
-1,17,4,6,15,7,10,-128
13,25,-3,-96,-25,-2,2,-128
-7,-60,-5,127,19,-3,4,-128
-20,20,-1,113,31,2,-4,-128
-11,-42,-10,-32,-1,2,-18,-128
16,4,-4,-25,-5,1,1,-128
18,27,0,-21,-15,-9,-16,-128
0,-27,1,-12,-5,-1,39,-128
-12,16,-1,-9,-4,-2,-1,-128
4,12,-2,-16,-7,-2,0,-128
-7,-29,0,14,3,4,1,-128
-13,1,-3,-12,-5,-4,-8,-128
-1,54,5,-69,-12,-5,-11,-128
-6,-68,-8,63,8,-7,-11,-128
12,-12,5,3,10,5,3,-128
1,1,3,-8,9,1,-6,-128
-7,35,0,-2,-2,-2,-6,-128
-5,5,-7,-14,-1,-1,5,-128
8,-15,-8,-19,-7,2,45,-128
15,-5,-3,-33,-6,-2,-36,-128
-7,-32,-2,35,-6,-13,-33,-128
-15,-18,0,21,-3,-3,5,-128
-12,-13,-4,-22,-1,-2,-2,-128
2,17,4,-16,-9,0,9,-128
10,12,-2,-6,-7,1,-11,-128
11,-2,-6,28,17,6,16,-128
-8,14,0,2,-2,-8,7,-128
-3,-35,-2,-11,-8,-4,-8,-128
4,-5,5,-32,-10,2,9,-128
3,22,-2,4,1,-5,-9,-128
-5,74,1,13,5,-3,-13,-128
-7,-69,-14,-5,5,2,2,-128
3,-14,-3,-7,2,-5,6,-128
4,11,4,-8,-5,-2,-7,-128
3,14,-1,-68,-24,-1,-4,-128
7,51,5,30,11,1,10,-128
-18,-15,-5,63,7,-7,-21,-128
15,4,4,5,-1,-4,-28,-128
15,10,-4,-23,0,2,11,-128
7,-1,0,-18,-5,3,21,-128
-16,-4,2,-49,-12,3,-10,-128
-13,-24,0,84,20,5,-13,-128
20,0,-5,-19,2,-1,-8,-128
15,6,2,-1,6,4,26,-128
4,20,-1,-15,-9,0,19,-128
-5,7,-2,-19,-11,1,-2,-128
-6,51,-4,8,5,-3,-6,-128
3,-41,-1,5,-6,0,12,-128
-7,53,-2,16,0,-4,-2,-128
-29,-82,-11,-8,-8,-11,-46,-128
2,6,-7,-4,1,-2,-2,-128
2,2,-6,-14,-7,-6,-7,-128
7,31,7,-1,-1,2,12,-128
9,12,5,-5,1,1,22,-128
9,19,7,3,3,4,-11,-128
-7,-8,-9,-33,-12,-10,22,-128
2,-3,-1,11,-2,-4,-1,-128
-9,3,0,10,2,0,-12,-128
8,-4,-1,-7,3,4,1,-128
-20,12,-1,2,3,0,2,-128
-11,-42,-10,-18,-5,-8,-8,-128
1,-15,5,-24,-13,-9,-8,-128
4,26,-3,-62,-21,-5,-12,-128
20,59,2,120,15,10,3,-128
-24,-13,9,127,55,23,27,-128
-13,-88,-15,-16,-8,-11,-12,-128
5,14,-11,-33,-17,-8,-11,-128
8,-17,-8,-31,-14,-8,-6,-128
-14,8,3,-14,-8,1,-1,-128
-1,12,1,-17,-4,-3,-6,-128
-1,7,-2,16,-4,-1,-2,-128
9,28,5,-7,-2,4,8,-128
