Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-8,-1,-121,-3,-2,-2,-14,-128
-1,2,45,5,2,4,3,-128
-1,-11,-20,-10,-3,-5,-9,-128
4,3,7,-3,-1,-4,-11,-128
-1,0,-3,-9,-3,-3,-4,-128
-1,6,-1,6,-3,-2,0,-128
-5,6,-13,-4,-10,0,-2,-128
-1,-2,9,34,25,4,-2,-128
-1,-1,17,2,-5,-5,-11,-128
0,-8,2,-9,-4,0,-2,-128
-5,-9,1,-19,-9,-6,24,-128
-3,0,31,8,-3,-3,-7,-128
-12,-5,4,45,-12,-16,4,-128
-6,-4,23,-12,0,-5,-5,-128
6,4,-5,-19,-5,2,-6,-128
-4,-2,-8,0,-3,4,-4,-128
0,-4,1,-8,0,-4,-14,-128
-6,-6,2,-2,-3,0,9,-128
-3,3,0,1,-2,-7,-10,-128
3,-2,-4,-5,-6,-2,1,-128
0,1,-9,2,7,4,-2,-128
-2,6,17,-11,-9,-2,3,-128
1,2,56,-11,-4,6,3,-128
-3,1,-38,26,10,-2,-11,-128
-4,-21,-59,-8,-6,-10,-6,-128
-1,-3,5,-9,-6,-4,12,-128
-6,8,18,-7,-1,1,-3,-128
1,6,68,44,10,-1,-5,-128
-1,2,26,0,-10,-3,-3,-128
-2,-7,-30,-17,12,-4,-5,-128
1,2,20,3,0,5,5,-128
-4,-22,-63,-5,-10,-10,-16,-128
3,0,33,7,9,8,16,-128
-2,-4,-42,-12,-5,-6,-16,-128
-5,-6,7,5,-1,3,15,-128
-1,1,30,6,7,7,1,-128
-8,-4,-34,-13,-11,-9,-26,-128
3,4,13,-18,-6,-10,-6,-128
5,5,25,-8,-10,-7,-11,-128
-6,-10,36,-10,-13,-4,12,-128
-6,-7,1,22,19,-3,-5,-128
2,-1,-6,-4,0,3,2,-128
-3,3,-3,-4,-1,-3,-6,-128
-1,-1,-5,-8,-5,-1,2,-128
-5,0,36,-4,-7,-6,-21,-128
3,-1,-63,0,4,7,22,-128
-2,-3,-1,5,-6,-5,-16,-128
0,-2,37,-3,-2,-3,-5,-128
4,-8,-31,-1,1,0,-4,-128
-3,-7,-22,-3,-4,5,4,-128
0,-1,2,-1,-4,-3,-5,-128
-2,10,8,-6,1,6,7,-128
-1,-3,-3,23,-1,-8,7,-128
3,10,35,10,12,5,-23,-128
-5,-40,-73,-33,-14,-7,10,-128
-6,9,-3,11,-1,-5,-8,-128
-2,-9,-15,-8,-2,-2,-1,-128
-2,2,-41,-12,-9,0,1,-128
1,-2,6,-7,-1,-4,-17,-128
-8,-4,76,-5,0,1,9,-128
2,2,-24,2,-6,-2,-2,-128
-2,5,64,9,0,1,-7,-128
-4,-13,-128,-53,-13,-9,-5,-128
-9,-16,73,45,5,-7,-13,-128
-5,0,52,19,7,0,-11,-128
7,-9,14,-22,-7,4,12,-128
0,15,11,-4,-9,-7,-12,-128
-2,2,-3,-9,-1,6,9,-128
-8,-13,-13,-16,-8,-2,-4,-128
-5,-1,31,23,12,4,2,-128
5,-1,-47,-9,2,3,-8,-128
-2,-14,29,-5,-22,-17,-12,-128
8,1,-25,-26,23,4,-4,-128
-10,2,19,18,-10,-13,-13,-128
-1,-6,-61,-14,-9,1,2,-128
0,1,28,1,-6,2,4,-128
0,2,10,-2,-6,-6,-6,-128
-1,2,-15,-2,-3,-6,-13,-128
-8,-10,24,-5,-3,2,0,-128
