Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-5,-3,127,38,-3,-16,-26,-128
-4,-11,-128,-37,-5,-1,-3,-128
-5,-3,65,-14,-2,-2,15,-128
-2,-3,5,9,1,0,-20,-128
2,5,8,-6,5,10,11,-128
2,-3,-11,-1,-6,-5,0,-128
-3,0,9,5,2,-5,-5,-128
0,1,13,-15,1,-1,3,-128
1,1,17,-3,1,5,4,-128
-6,-12,-45,8,-10,-9,0,-128
-6,-3,16,6,7,0,-4,-128
5,9,30,9,-2,-1,-1,-128
-6,-3,-34,12,9,1,-9,-128
-4,-3,-74,16,-1,-5,-7,-128
1,-3,-44,-14,-3,3,3,-128
1,-1,17,-3,-7,-2,-1,-128
0,5,-22,-9,-4,0,-2,-128
0,-9,-22,13,-7,-8,-10,-128
0,-4,49,-4,0,-2,-5,-128
1,9,41,-7,2,-4,2,-128
2,-8,31,13,5,5,1,-128
2,10,84,10,-3,-1,7,-128
5,14,42,12,1,0,-15,-128
-17,-35,-128,-68,-24,-15,-20,-128
4,10,127,31,8,3,14,-128
0,2,2,7,-3,-5,-12,-128
-4,-3,21,-10,-4,-4,-9,-128
6,3,-3,-11,-2,8,5,-128
-2,-3,-37,-22,-1,0,19,-128
-1,-12,-55,-3,-4,-5,15,-128
0,3,-8,0,-5,2,-9,-128
1,-2,19,-4,-4,-4,-1,-128
1,0,-18,-2,-1,-2,-4,-128
-3,3,56,-9,-4,-4,-10,-128
1,-8,-101,23,3,3,7,-128
1,-5,21,-23,-9,-2,24,-128
5,23,127,23,13,15,6,-128
-15,-33,-128,-44,-21,-18,5,-128
11,6,62,11,4,4,-6,-128
-3,-7,75,0,-2,-8,-7,-128
1,3,23,4,0,3,2,-128
-1,1,5,-4,-3,-3,-9,-128
2,-3,-6,-6,-6,2,0,-128
-1,10,-15,-7,5,4,4,-128
5,0,45,16,5,9,17,-128
2,1,-87,-12,-5,-7,51,-128
-3,-2,11,-3,3,0,-11,-128
-3,-1,0,-21,-14,-6,-11,-128
1,0,-9,6,-1,6,14,-128
-3,0,16,8,33,0,-10,-128
0,5,32,-2,-6,1,-5,-128
0,-2,3,0,-3,2,-4,-128
0,-4,-14,-5,-8,-10,-12,-128
8,-3,-19,-3,-2,1,19,-128
-9,-5,-33,-31,-14,-5,-22,-128
5,2,-37,12,12,7,13,-128
0,2,122,39,12,-2,39,-128
-17,-41,-128,-70,-32,-31,-38,-128
2,2,90,1,3,7,3,-128
1,2,66,0,-1,-2,-9,-128
3,3,-18,-8,10,12,23,-128
-5,-1,-49,4,-2,-4,-9,-128
-2,2,-13,3,1,4,-4,-128
4,2,-10,-3,-3,-6,-4,-128
-5,-4,-26,-52,-17,-3,1,-128
2,-4,40,13,-6,2,1,-128
-6,12,108,97,31,0,2,-128
-5,-37,-55,-21,-13,-14,-11,-128
-7,-1,107,-21,-2,-15,-34,-128
11,17,28,2,15,27,50,-128
-6,-2,-11,-11,-10,-8,10,-128
3,-1,-29,-32,-4,0,-5,-128
-1,1,15,26,-4,0,-6,-128
3,4,-32,5,4,4,-7,-128
-2,6,28,8,10,2,-2,-128
-1,-9,-10,-22,-12,-8,-25,-128
-5,-4,-85,7,-9,-4,-11,-128
-5,-2,27,6,-6,4,58,-128
-4,-8,-25,44,2,-5,-16,-128
6,14,-2,-12,17,-5,-11,-128
-3,6,66,-13,-3,3,-6,-128
-1,-1,0,3,-8,-9,-5,-128
-1,5,-14,-6,-6,-2,-5,-128
-4,-7,-35,0,-1,2,-12,-128
-2,-5,45,-4,-2,-4,15,-128
-6,-13,-128,-35,-10,-6,-15,-128
-5,-3,-126,40,8,8,10,-128
-7,2,32,16,10,-1,-5,-128
6,4,-12,0,-1,0,-6,-128
-1,-7,-39,-15,0,2,-10,-128
0,-4,-1,-12,-6,0,26,-128
-4,4,5,-7,-7,-1,-17,-128
6,2,-6,5,16,5,-2,-128
-2,-3,-25,1,9,3,5,-128
2,10,90,-21,-2,11,18,-128
-7,-12,-109,16,-5,-9,-22,-128
-5,-10,-95,-14,-8,-13,-15,-128
3,1,-4,2,-4,6,20,-128
-7,-10,41,30,30,3,-8,-128
-1,9,18,-37,-11,-4,-10,-128
3,17,37,12,0,10,-7,-128
-7,-17,-78,-26,-14,-11,-10,-128
2,-2,38,-1,-1,3,-16,-128
1,13,108,2,-6,2,6,-128
-3,-15,-128,-20,-8,-13,-4,-128
0,-6,-57,27,2,-4,-11,-128
0,-3,2,-19,-2,3,1,-128
-6,2,-9,-2,1,1,-9,-128
0,2,-21,-5,14,13,21,-128
-6,-4,-16,21,-1,-4,-6,-128
-3,0,2,-6,1,1,-4,-128
-7,-4,-68,-16,-1,0,-8,-128
2,-8,32,-3,4,2,-17,-128
5,9,-82,24,2,7,5,-128
-12,-17,0,-43,-28,-20,36,-128
0,-4,-128,-4,0,-7,-11,-128
-4,-2,63,10,0,-3,-3,-128
-1,-5,6,-16,-5,1,-4,-128
-2,7,6,-8,7,3,2,-128
-3,-5,25,31,-9,-15,-28,-128
-1,0,-12,-24,-1,0,9,-128
0,10,11,1,0,4,11,-128
-2,-4,-29,15,13,1,-9,-128
-4,-9,38,14,-1,-4,-3,-128
-4,3,-55,-36,5,-5,-2,-128
-3,0,-8,19,-4,4,-3,-128
3,-12,-36,-23,-3,2,5,-128
10,15,127,27,20,16,6,-128
-12,-28,-128,-70,-32,-32,-27,-128
5,15,112,20,6,8,9,-128
-3,-11,-34,-15,-7,-7,-10,-128
0,-3,7,10,10,7,-9,-128
7,-6,-27,5,1,17,58,-128
-9,-12,-69,-14,-11,-12,-26,-128
0,10,-22,7,4,-3,-6,-128
-8,-6,64,-8,-2,0,-7,-128
-1,-14,-51,-5,4,6,20,-128
-3,5,-28,-5,-7,-6,-9,-128
-4,-2,-37,-2,4,-1,-10,-128
1,7,60,6,6,-1,1,-128
3,-2,17,-16,0,9,1,-128
-12,-12,-63,25,-12,-12,-2,-128
2,6,51,-6,0,3,1,-128
-1,-2,7,6,-5,-2,-4,-128
1,-9,16,-15,1,-7,-1,-128
-4,-18,-56,-13,2,4,-5,-128
-4,2,34,-6,-5,-6,-17,-128
0,-6,-83,-10,-8,0,-8,-128
-1,14,120,13,-10,-8,-24,-128
-1,-9,36,10,-5,-12,-16,-128
-3,-4,-109,-7,0,-3,-5,-128
2,1,37,29,4,7,2,-128
-3,-5,5,-29,3,1,-3,-128
-2,-2,11,-7,-6,-2,-3,-128
4,2,88,30,16,2,3,-128
-4,-4,-32,3,-1,-1,1,-128
-4,5,3,22,-4,-10,-6,-128
-6,-15,-8,-14,-9,-1,-5,-128
0,-2,-89,-29,-7,-3,-25,-128
2,5,9,7,6,9,8,-128
-2,2,11,-16,-3,-2,31,-128
1,4,0,8,17,3,2,-128
-7,10,10,8,7,1,-9,-128
2,-10,-27,17,10,14,14,-128
-1,9,96,8,2,-1,-6,-128
-2,-3,-128,25,-2,-9,-8,-128
-2,-2,80,-12,-8,-2,0,-128
-9,-6,22,-15,-7,-10,-12,-128
-1,1,28,-17,-6,1,3,-128
5,14,4,6,2,-7,0,-128
-7,-13,-18,-6,-23,-15,-30,-128
3,-6,-4,-10,5,4,8,-128
-7,-5,-4,4,1,-6,-28,-128
2,6,-5,-7,0,-2,-9,-128
1,-2,1,-9,-5,-4,3,-128
-2,3,7,16,-7,2,1,-128
-2,-12,119,-9,-9,0,2,-128
-2,10,127,29,19,9,-5,-128
-9,-37,-128,-31,-7,1,-15,-128
-2,-8,127,7,-14,-23,-22,-128
4,2,46,-3,2,11,24,-128
-5,-4,-43,-2,-4,-5,-5,-128
4,-1,46,-6,1,3,-1,-128
-1,-3,-11,-1,-2,-1,0,-128
4,5,-36,-7,-2,-3,-5,-128
-2,-2,-32,-10,0,0,-26,-128
10,15,59,32,19,21,27,-128
-18,-42,-99,-9,-23,-24,-8,-128
-1,12,-20,-21,0,-5,-5,-128
-4,-4,-72,9,4,1,-5,-128
-6,-10,-26,-15,-10,-11,-14,-128
1,2,6,-5,-1,6,8,-128
2,-4,-49,-14,-2,3,16,-128
-2,3,-3,-4,6,3,-8,-128
-8,-9,12,-4,5,5,-4,-128
-6,5,-1,0,6,15,28,-128
-8,-5,-10,33,-6,-7,-11,-128
-2,-1,54,-32,-5,-9,-7,-128
-1,7,-21,-5,-2,3,-20,-128
-3,-4,-68,23,19,9,-1,-128
-3,5,68,6,6,7,56,-128
1,-12,-115,-32,-9,0,-1,-128
-2,1,-19,4,0,-4,-11,-128
-6,4,127,5,-8,2,-7,-128
5,-2,-128,-7,15,15,22,-128
-2,3,19,2,1,-8,-8,-128
-1,-9,29,17,-4,5,2,-128
1,6,28,-44,-11,2,6,-128
6,-5,-116,16,5,1,5,-128
-8,-13,107,18,14,1,-8,-128
0,-4,-128,-25,-16,-10,-13,-128
-2,-12,10,5,-2,-4,2,-128
0,-3,3,-5,-4,2,3,-128
-6,11,17,-7,-5,-6,-9,-128
5,7,2,-16,-2,-6,-10,-128
4,-2,48,6,4,7,-3,-128
-2,-1,-38,-3,-5,-1,23,-128
0,-7,21,4,2,-7,-16,-128
0,4,36,-7,5,-2,-3,-128
-5,-2,50,-10,0,-5,-21,-128
4,10,62,41,4,8,3,-128
-5,-17,-108,-24,-10,2,49,-128
-2,-7,-23,-22,-13,-15,-19,-128
-2,-8,22,-4,-2,0,-5,-128
4,9,-5,11,4,-3,-7,-128
4,-6,-11,-6,-1,8,6,-128
-5,2,-2,11,5,4,5,-128
-2,-11,25,0,-2,-4,-7,-128
-4,1,-41,-11,1,3,-1,-128
4,12,82,-4,-1,4,2,-128
-5,-6,-128,6,-2,-4,-8,-128
-8,-14,11,-23,-19,-16,17,-128
2,-1,59,29,8,1,-2,-128
-2,7,8,-23,3,-2,-3,-128
-5,-2,8,3,1,-2,-11,-128
5,-1,6,-12,-1,3,21,-128
0,3,-8,-1,-5,-1,-4,-128
-2,-4,-7,12,5,-8,-6,-128
-9,-2,-13,-4,-1,-2,-6,-128
1,-6,-28,-9,-11,-1,-2,-128
5,2,127,-11,8,0,2,-128
-9,2,14,67,1,-14,-19,-128
-2,-8,3,-17,-6,-8,-12,-128
-1,2,38,-12,-10,2,5,-128
-5,-8,-13,-38,-7,-4,-16,-128
5,7,-18,23,15,11,30,-128
-4,-3,-33,-8,-7,1,-17,-128
-5,-2,-7,-7,-9,-5,-17,-128
-2,-1,-25,-4,-2,-1,-4,-128
-6,4,0,3,-2,-5,20,-128
2,-12,14,0,1,4,-2,-128
-3,1,-11,9,-3,-6,-14,-128
7,-7,-103,0,5,13,45,-128
-6,-9,50,-20,-16,-19,-37,-128
-1,-10,-51,-13,-6,-9,2,-128
0,12,9,30,12,5,7,-128
0,-10,-20,1,0,8,4,-128
-4,-1,-16,-6,0,-2,-3,-128
-3,-2,5,-4,-2,-2,18,-128
6,16,21,6,8,7,0,-128
-6,-8,15,-11,-12,-11,-23,-128
-2,-10,30,11,-1,-1,3,-128
-6,-1,39,15,2,0,11,-128
-3,9,7,-11,-5,-7,-41,-128
0,-1,38,-4,-5,1,1,-128
-1,-7,-72,6,2,-1,2,-128
-2,12,74,-8,-9,0,-3,-128
-4,-30,0,-11,-9,-8,-12,-128
-12,-2,12,50,-8,-25,-22,-128
9,9,8,-75,17,22,28,-128
-6,-1,7,19,-2,-10,-13,-128
0,-1,-6,11,8,2,-1,-128
-3,3,30,0,-8,-3,1,-128
-1,-6,71,-7,1,0,3,-128
-4,-10,-4,-21,-12,-4,-1,-128
5,4,59,52,18,5,2,-128
-8,-13,-110,-2,-14,-10,-4,-128
-3,16,41,-9,-4,-4,-7,-128
-2,-10,28,-11,-5,-6,-9,-128
1,-3,15,-2,-1,3,27,-128
-2,-3,14,-5,-2,-3,-2,-128
-1,-5,-27,0,-1,-4,2,-128
3,4,19,0,0,4,-2,-128
-14,-4,-7,-4,-2,-10,-29,-128
