Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-2,6,52,3,-5,2,-11,-128
-6,-4,-92,-17,-12,-17,-9,-128
0,-7,-48,3,23,2,-1,-128
9,17,127,-25,3,9,2,-128
-1,0,-128,32,-14,-11,-7,-128
-18,-21,-16,-12,-29,-18,-14,-128
-4,-3,43,6,-1,1,2,-128
1,7,29,-2,1,6,-2,-128
7,-1,6,-14,-1,-6,9,-128
0,4,11,-1,10,-3,-3,-128
-5,-6,21,22,-4,-9,-8,-128
11,8,-46,-29,-12,6,10,-128
-10,-10,-38,-28,-4,-10,-5,-128
1,-5,-9,14,1,-1,3,-128
4,7,21,-39,0,1,3,-128
-16,-28,-105,-44,-22,-15,-4,-128
0,8,-13,26,-10,-6,-2,-128
-4,-12,-38,5,-3,-1,-1,-128
2,14,127,61,18,7,-1,-128
-13,-24,-128,-91,0,0,-11,-128
8,11,41,-8,-1,5,9,-128
3,8,82,-16,3,-3,2,-128
-6,-4,-71,33,0,-3,-7,-128
-4,-7,28,18,-7,-5,-6,-128
-2,-1,11,5,-1,0,5,-128
-6,-8,6,-2,0,-11,-17,-128
-6,-2,18,17,0,-1,0,-128
3,5,-63,-23,5,9,2,-128
10,0,54,3,-22,-2,10,-128
-6,-15,-94,-46,6,-6,-4,-128
3,3,11,1,-1,-7,-2,-128
-4,-4,9,-28,-1,-8,-11,-128
-4,1,-13,5,1,3,-3,-128
-4,2,-17,14,-7,-3,-4,-128
-6,-4,41,25,2,-3,-6,-128
-5,0,-76,-8,-14,0,-4,-128
-2,-2,-68,-8,13,2,-5,-128
7,6,114,-14,11,9,4,-128
-1,1,5,8,-7,-4,0,-128
13,14,96,-11,14,17,12,-128
-6,-1,-73,-35,-6,4,-1,-128
-6,-14,6,-35,-2,1,1,-128
-7,-7,-30,12,-1,-4,-5,-128
-1,2,5,1,-13,1,-3,-128
-6,-6,-20,5,-10,-10,-5,-128
-2,-2,7,-5,3,-4,1,-128
